parlamentar,partido,uf_partido,sessao,fase,data,hora,publicacao,link_discurso,sumario
Erika Kokay,PT,DF,141.2022,ORDEM DO DIA,19/10/2022,13h48,DCD20/10/2022 PAG. 110,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659804&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A48&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A48,"Negacionismo estrutural do Governo Jair Bolsonaro. Aumento da fome no País. Ausência de reajuste real do salário mínimo. Crescimento do desmatamento na Amazônia. Protesto contra a não votação do Projeto de Lei nº 1.776, de 2015, sobre a inclusão no rol de crimes hediondos os crimes de Pedofilia. Crítica a projeto de lei sobre a criminalização de institutos de pesquisa de opinião. Necessidade de explicações do Presidente da República sobre o uso do termo ""pintou um clima"" em relação a adolescentes venezuelanas. Protesto contra a misoginia e a política manicomial do Governo Jair Bolsonaro. Expectativa quanto à eleição de Luiz Inácio Lula da Silva para Presidência da República."
Hildo Rocha,MDB,MA,141.2022,ORDEM DO DIA,19/10/2022,13h40,DCD20/10/2022 PAG. 108,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659799&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A40&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A40,"Regozijo com a reeleição do Governador do Estado do Maranhão, Carlos Brandão. Necessidade da destinação de recursos à Universidade Estadual do Maranhão para o início imediato do curso de medicina no campus de São Luís. Destinação de recursos pelo orador para a construção de ginásio de esportes dentro da Cidade Universitária Paulo VI. Importância do diagnóstico elaborado pela Universidade Estadual do Maranhão sobre a Bacia do Itapecuru."
Pompeo de Mattos,PDT,RS,141.2022,ORDEM DO DIA,19/10/2022,13h36,DCD20/10/2022 PAG. 107,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659796&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A36&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Pompeo+de+Mattos&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A36,Protesto contra o corte de 95% dos recursos orçamentários destinados ao Sistema Único de Assistência Assistência Social — SUAS para o ano de 2023.
Erika Kokay,PT,DF,141.2022,ORDEM DO DIA,19/10/2022,13h36,DCD20/10/2022 PAG. 107,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659794&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A36&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A36,"Urgente votação do Projeto de Lei nº 1.776, de 2015, sobre a inclusão no rol de crimes hediondos os crimes de pedofilia."
Pompeo de Mattos,PDT,RS,141.2022,ORDEM DO DIA,19/10/2022,13h32,DCD20/10/2022 PAG. 105,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659786&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A32&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Pompeo+de+Mattos&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A32,"Compromisso do PDT com a questão dos jogos no Brasil. Apoio ao Projeto de Lei nº 2.796, de 2021, sobre a criação do marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia."
Kim Kataguiri,UNIÃO,SP,141.2022,ORDEM DO DIA,19/10/2022,13h32,DCD20/10/2022 PAG. 106,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659790&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A32&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Kim+Kataguiri&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A32,"Agradecimentos aos Parlamentares pelo apoio ao Projeto de Lei nº 2.796, de 2021, sobre a criação do marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia."
Hildo Rocha,MDB,MA,141.2022,ORDEM DO DIA,19/10/2022,13h28,DCD20/10/2022 PAG. 105,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659781&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A28&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A28,"Defesa do Projeto de Lei nº 2.796, de 2021, sobre a criação do marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia. Prêmio internacional concedido ao Instituto Federal do Estado do Maranhão pelo uso da robótica no ensino. Medalha recebida pela equipe Conecstar de Robótica, do Município maranhense de São Bernardo."
Erika Kokay,PT,DF,141.2022,ORDEM DO DIA,19/10/2022,13h24,DCD20/10/2022 PAG. 102,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659773&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A24&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Erika+Kokay&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A24,"Discussão do Projeto de Lei nº 2.796, de 2021, sobre a criação do marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia."
Vivi Reis,PSOL,PA,141.2022,ORDEM DO DIA,19/10/2022,13h12,DCD20/10/2022 PAG. 99,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659762&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A12&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Vivi+Reis&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A12,Protesto contra violência política de gênero cometida por Deputado da Casa. Anúncio de encaminhamento de denúncia à Procuradoria da Mulher da Câmara dos Deputados sobre o caso.
Aliel Machado,PV,PR,141.2022,ORDEM DO DIA,19/10/2022,13h08,DCD20/10/2022 PAG. 98,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=141.2022&nuQuarto=2659757&nuOrador=1&nuInsercao=1&dtHorarioQuarto=13%3A08&sgFaseSessao=OD&Data=19%2F10%2F2022&txApelido=Aliel+Machado&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=13%3A08,Apoio à eleição do ex-Presidente Luiz Inácio Lula da Silva.
