parlamentar,partido,uf_partido,sessao,fase,data,hora,publicacao,link_discurso,sumario
Marcel Van Hattem,NOVO,RS,183.2022,ORDEM DO DIA,22/12/2022,23h52,DCD23/12/2022 PAG. 65,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761774&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A52&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Marcel+Van+Hattem&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A52,Defesa da criação de CMPI para investigação de abuso de autoridade por parte de Ministros do Supremo Tribunal Federal e do Tribunal Superior Eleitoral.
Renildo Calheiros,PCdoB,PE,183.2022,ORDEM DO DIA,22/12/2022,23h48,DCD23/12/2022 PAG. 63,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761759&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A48&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Renildo+Calheiros&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A48,"Esclarecimento ao Plenário sobre o teor do Projeto de Resolução nº 35, de 2022, relativo à alteração das Resoluções de nºs 1, de 2007, e 30, de 2018, com vista à regulação da estrutura de lideranças e federações partidárias."
Reginaldo Lopes,PT,MG,183.2022,ORDEM DO DIA,22/12/2022,23h48,DCD23/12/2022 PAG. 64,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761761&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A48&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Reginaldo+Lopes&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A48,"Orientação de bancada na votação do Projeto de Resolução nº 35, de 2022, com exceção do termo apenas, inserido no § 4º, art. 5º, da Resolução nº 1, de 2007, alterado pelo art. 2º por acordo de líderes. Agradecimento à Diretoria-Geral da Câmara dos Deputados, na pessoa do Sr. Celso Barros."
Marcel Van Hattem,NOVO,RS,183.2022,ORDEM DO DIA,22/12/2022,23h48,DCD23/12/2022 PAG. 65,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761771&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A48&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Marcel+Van+Hattem&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A48,"Agradecimento aos Líderes partidários e ao Presidente Arthur Lira pela aprovação do Projeto de Resolução nº 35, de 2022, sobre a alteração das Resoluções de nºs 1, de 2007, e 30, de 2018, com vista à regulação da estrutura de lideranças e federações partidárias."
Bia Kicis,PL,DF,183.2022,ORDEM DO DIA,22/12/2022,23h28,DCD23/12/2022 PAG. 61,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761744&nuOrador=1&nuInsercao=1&dtHorarioQuarto=23%3A28&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Bia+Kicis&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=23%3A28,"Falta de condições éticas da cantora Margareth Menezes e do Deputado Estadual André Ceciliano para assunção, respectivamente, do Ministério da Cultura e da Secretaria de Assuntos Federativos da Presidência da República. Conveniência de investigação, pelo Ministério Público, bem como pela Procuradoria-Geral da República e pelo Tribunal de Contas da União - TCU, de denúncias contra os indicados aos cargos supracitados. Falta de condições técnicas do Sr. Fernando Haddad para ocupação do cargo de Ministro da Economia."
Tiago Mitraud,NOVO,MG,183.2022,ORDEM DO DIA,22/12/2022,22h48,DCD23/12/2022 PAG. 57,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761730&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A48&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Tiago+Mitraud&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A48,"Atuação do orador contra o desperdício do dinheiro público. Iniciativa do Parlamentar de publicação de edital sobre a destinação de recursos de emendas parlamentares. Manutenção pelo partido Novo e pelo orador de suas convicções nas votações realizadas na Câmara dos Deputados. Defesa da liberdade econômica. Apresentação, pela bancada do Novo, do Projeto de Lei nº 4.783, de 2020, sobre a criação do Código de Defesa do Empreendedor. Candidatura do orador, pelo partido Novo, ao cargo de Vice-Presidente da República do chapa do candidato Felipe D'Avila. Atuação do Parlamentar na Liderança da agremiação partidária. Desempenho do Governador do Estado de Minas Gerais, Romeu Zema, de Prefeitos Municipais, Deputados e Vereadores do Novo. Agradecimento aos membros da bancada partidária, às equipes do seu gabinete parlamentar e da Liderança do partido, aos colaboradores com o seu mandato parlamentar, aos Deputados e servidores da Casa. Despedida do orador da Câmara dos Deputados."
Reginaldo Lopes,PT,MG,183.2022,ORDEM DO DIA,22/12/2022,22h40,DCD23/12/2022 PAG. 55,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761727&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A40&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Reginaldo+Lopes&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A40,"Agradecimento aos Deputados Tiago Mitraud e Paulo Ganime pelo convívio harmonioso no exercício do mandato parlamentar. Realização do seminário Resistência, Travessia e Esperança. Atuação do orador no cargo de Líder do PT na Câmara dos Deputados. Recomposição do Orçamento Geral da União de 2023. Importância do Programa Bolsa Família como instrumento de combate à extrema pobreza e às desigualdades sociais. Universalização da escola em tempo integral no ensino fundamental. Importância, para o setor educacional, da aprovação da Proposta de Emenda à Constituição nº 32, de 2022, sobre a alteração do Ato das Disposições Constitucionais Transitórias, com vista à implementação do Programa Bolsa Família e à definição das regras de transição da Presidência da República aplicáveis à Lei Orçamentária de 2023."
Paula Belmonte,CIDADANIA,DF,183.2022,ORDEM DO DIA,22/12/2022,22h28,DCD23/12/2022 PAG. 52,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761817&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A28&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Paula+Belmonte&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A28,"Cumprimento da agenda da oradora em cidades do Distrito Federal. Maior atenção das autoridades competentes para com as crianças brasileiras. Filiação da Parlamentar aos quadros do Cidadania. Atuação parlamentar da oradora em defesa das crianças, da fiscalização do dinheiro público e do empreendedorismo com geração de emprego e renda. Luta empreendida pela Parlamentar em defesa da liberdade de expressão. Aprovação pela Casa do Projeto de Lei Complementar nº 178, de 2021, sobre a instituição do Estatuto Nacional de Simplificação de Obrigações Tributárias Acessórias. Responsabilidade dos Parlamentares de transformação do País e de promoção de ações em defesa das crianças brasileiras. Agradecimento a Deputados do Cidadania, ao ex-Presidente da Casa, Rodrigo Maia, ao Presidente Arthur Lira, a assessores e servidores da Câmara dos Deputados. Eleição da oradora para a Câmara Legislativa do Distrito Federal."
Renildo Calheiros,PCdoB,PE,183.2022,ORDEM DO DIA,22/12/2022,22h08,DCD23/12/2022 PAG. 44,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761720&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A08&sgFaseSessao=OD&Data=22%2F12%2F2022&txApelido=Renildo+Calheiros&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A08,"Leitura do parecer exarado pela Deputada Perpétua Almeida no Projeto de Lei nº 565, de 2022, sobre a qualificação da exposição de crianças e adolescentes sob guarda de pais ou responsáveis legais brasileiros a situações de violência doméstica em país estrangeiro, nos termos do art. 13 da Convenção sobre os Aspectos Civis do Sequestro Internacional de Crianças."
Sâmia Bomfim,PSOL,SP,183.2022,BREVES COMUNICAÇÕES,22/12/2022,22h00,DCD23/12/2022 PAG. 32,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=183.2022&nuQuarto=2761713&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A00&sgFaseSessao=BC&Data=22%2F12%2F2022&txApelido=S%C3%A2mia+Bomfim&txFaseSessao=Breves+Comunica%C3%A7%C3%B5es&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A00,"Luta empreendida pelo PSOL contra o Governo Jair Bolsonaro. Empenho da militância do partido na eleição do Sr. Luiz Inácio Lula da Silva à sucessão presidencial. Defesa da apuração de crimes cometidos pelo Presidente da República. Luta da bancada do PSOL pela extinção das emendas de Relator, RP9. Fortalecimento da agremiação partidária na Câmara dos Deputados."
