topic,terms
0,"0.013*""povo"" + 0.010*""todo"" + 0.010*""deus"" + 0.009*""brasileiro"" + 0.007*""ano"" + 0.007*""homem"" + 0.005*""votar"" + 0.005*""projeto"" + 0.005*""próprio"" + 0.005*""primeiro"""
1,"0.018*""todo"" + 0.008*""parlamentar"" + 0.007*""ano"" + 0.007*""casa"" + 0.007*""brasileiro"" + 0.006*""sr_presidente"" + 0.006*""brasil"" + 0.005*""momento"" + 0.005*""projeto"" + 0.005*""crime"""
2,"0.011*""energia"" + 0.011*""hoje"" + 0.007*""nordeste"" + 0.007*""geração"" + 0.007*""todo"" + 0.007*""brasil"" + 0.006*""grande"" + 0.006*""garantir"" + 0.006*""futuro"" + 0.005*""próximo"""
3,"0.007*""personalidade"" + 0.007*""desconsideração"" + 0.007*""patrimônio"" + 0.007*""jurídico"" + 0.007*""sim"" + 0.003*""deputado_rogério_correia"" + 0.003*""inseguro"" + 0.003*""sócio"" + 0.003*""terceiro"" + 0.003*""fiscalizar"""
4,"0.022*""salário"" + 0.019*""aumento"" + 0.015*""real"" + 0.013*""pobre"" + 0.012*""orçamento"" + 0.011*""pagar"" + 0.010*""agora"" + 0.010*""população"" + 0.010*""dar"" + 0.010*""secreto"""
5,"0.016*""todo"" + 0.009*""projeto"" + 0.008*""agradecer"" + 0.008*""energia"" + 0.008*""sr_presidente"" + 0.007*""brasil"" + 0.007*""grande"" + 0.006*""radialista"" + 0.006*""profissional"" + 0.006*""país"""
6,"0.018*""espaço"" + 0.012*""teto"" + 0.009*""gasto"" + 0.009*""dentro"" + 0.008*""sr_presidente"" + 0.008*""salário"" + 0.007*""mil"" + 0.007*""vez"" + 0.006*""gastar"" + 0.006*""voltar"""
7,"0.010*""todo"" + 0.009*""energia"" + 0.009*""público"" + 0.008*""direito"" + 0.007*""governo"" + 0.007*""país"" + 0.007*""sr_presidente"" + 0.006*""brasileiro"" + 0.006*""próprio"" + 0.006*""impor"""
8,"0.009*""sr_presidente"" + 0.008*""povo"" + 0.008*""momento"" + 0.007*""mandato"" + 0.007*""reforma"" + 0.007*""grande"" + 0.007*""brasileiro"" + 0.006*""cada"" + 0.006*""real"" + 0.006*""todo"""
9,"0.014*""todo"" + 0.013*""energia"" + 0.010*""país"" + 0.010*""imposto"" + 0.008*""votar"" + 0.007*""brasil"" + 0.007*""pagador"" + 0.006*""aneel"" + 0.006*""bom"" + 0.006*""oportunidade"""
10,"0.013*""todo"" + 0.009*""texto"" + 0.009*""dever"" + 0.007*""fato"" + 0.007*""algum"" + 0.007*""sr_presidente"" + 0.006*""importante"" + 0.006*""saber"" + 0.006*""eleger"" + 0.005*""emenda"""
11,"0.010*""rádio"" + 0.006*""todo"" + 0.006*""país"" + 0.006*""oposição"" + 0.005*""dever"" + 0.005*""grande"" + 0.005*""governo"" + 0.005*""momento"" + 0.005*""estado_do_cear"" + 0.005*""ficar"""
12,"0.009*""instituição"" + 0.009*""sr_presidente"" + 0.006*""cientista"" + 0.006*""nuclear"" + 0.006*""energia"" + 0.006*""vencedor"" + 0.006*""hoje"" + 0.004*""elemento"" + 0.004*""ônibus"" + 0.004*""gerar"""
13,"0.011*""criança"" + 0.009*""crime"" + 0.007*""contra"" + 0.007*""abuso"" + 0.007*""avançar"" + 0.007*""prioridade"" + 0.007*""preciso"" + 0.005*""brasil"" + 0.005*""todo"" + 0.005*""sr_presidente"""
14,"0.009*""brasil"" + 0.009*""cidade"" + 0.007*""brasileiro"" + 0.007*""bom"" + 0.005*""grande"" + 0.005*""reduzir"" + 0.005*""imposto"" + 0.005*""ano"" + 0.005*""questão"" + 0.005*""alíquota"""
