parlamentar,partido,uf_partido,sessao,fase,data,hora,publicacao,link_discurso,sumario,raw_disc
Dulce Miranda,MDB,TO,182.2022,ORDEM DO DIA,21/12/2022,19h20,DCD22/12/2022 PAG. 221,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2760663&nuOrador=1&nuInsercao=1&dtHorarioQuarto=19%3A20&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Dulce+Miranda&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=19%3A20,"Balanço da atuação parlamentar da oradora. Agradecimento aos eleitores do Estado de Tocantins, ao Presidente Nacional do MDB, Deputado Baleia Rossi, ao Líder Isnaldo Bulhões Jr., aos Deputados e familiares, ao ensejo de sua despedida da Câmara dos Deputados.","A SRA. DULCE MIRANDA (MDB - TO. Como Líder. Sem revisão da oradora.) - Sr. Presidente, senhoras e senhores, boa noite! Nesta semana, nós assistimos, vimos, participamos desta plenária onde vários companheiros se despediram do seu povo e do Brasil. E aqui estamos nós também, Sr. Presidente, mais uma vez agradecendo ao nosso Brasil e ao nosso querido Estado do Tocantins por me terem dado dois mandatos de Deputada Federal, os quais, penso, desempenhei com muita responsabilidade. Caros colegas, quero aqui, deste espaço, agradecer aos colegas e à população do Tocantins que concedeu a mim dois mandatos como Deputada Federal. Durante quase 8 anos, eu pude, por meio do meu trabalho, contribuir com muito esforço e retidão no desenvolvimento de políticas públicas e alavancar o crescimento do Tocantins, dando aos meus queridos irmãos e irmãs mais dignidade em seus Municípios. Com o mandato de Deputada Federal, debrucei-me por anos sobre os projetos das Comissões de Seguridade Social e Família, de Defesa dos Direitos da Mulher, de Defesa dos Direitos da Pessoa Idosa, de Combate ao Câncer e de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural. Ser representante de uma nação e de um Estado foi uma experiência excepcional. Tenho a clareza da responsabilidade que recai sobre os meus ombros, sobre os nossos ombros como Parlamentares. Fiz muito pelo Brasil, pelo Tocantins. Votei matérias de interesse público, com seriedade e compromisso. Mesmo que algumas tenham desagradado a algumas pessoas, nunca tive medo de enfrentar os obstáculos e sempre lutei de cabeça erguida. Na condição de Deputada, posso afirmar que a minha passagem pela Câmara Federal foi de muito aprendizado e troca de experiências. Entendi o tamanho da minha responsabilidade e o quão séria é essa missão. As mulheres, os idosos, os menos favorecidos, crianças, jovens e adultos receberam a minha atenção com a votação de leis, de pautas de audiências públicas que dessem dignidade a cada um desses grupos. A pandemia é um exemplo de como atuei com firmeza e empatia. Eu fui favorável a todos os atos que respaldassem a população brasileira num momento crucial para a humanidade. No pós-pandemia, não foi diferente: votei para que o Governo Federal desse assistência à população que mais sofreu com os reflexos da COVID-19. Agora, dirijo-me ao povo do meu Estado do Tocantins. Agradeço a cada voto que recebi nas urnas nas minhas três candidaturas. Nas eleições de 2022, obtive quase 40 mil votos, mas, em função do quociente eleitoral, não fui reconduzida. O tocantinense sabe que eu não decepcionei nem envergonhei o nosso Estado. Esses anos foram de trabalho árduo. Só de emendas, destinei mais de 100 milhões de reais em todas as áreas. Sem exceção, foram todas contempladas. Agradeço e despeço-me desse ciclo com o sentimento de dever cumprido. Eu gostaria de continuar contribuindo com o mandato eletivo, mas, para ajudar o próximo, não é necessário mandato, e sim a boa vontade, e esta eu tenho. Continuarei lutando como sempre fiz, por cada cidadão tocantinense, porque, antes mesmo de ser Deputada, sou uma tocantinense de alma e coração. É essa gente acolhedora que fará com que eu continue lutando. A você, homem e mulher do meu Estado, que votou em mim, tenha a gratidão pela confiança. Se errei, foi tentando acertar. Agradeço ao meu marido, Marcelo Miranda, aos meus filhos, Guilherme e Marcela, e à minha mãe, Rita, pela paciência e compreensão da minha ausência. E é verdade que estive mais na cidade e na Câmara do que em minha casa, mas por motivo nobre: trabalhar pelo Tocantins como servidora pública. Quero fazer um agradecimento especial ao Presidente Nacional do meu partido, Baleia Rossi; ao Líder Isnaldo Bulhões Jr., bem como aos demais colegas Parlamentares pela convivência nesta Casa; assim como agradeço aos servidores da Câmara e aos meus colaboradores de gabinete, que em Brasília e Tocantins contribuíram de forma ímpar e significativa para o bom desempenho dos meus mandatos. A todos vocês, o meu carinho eterno. De algo eu tenho certeza: estou saindo maior do que entrei. E agora, entendendo o tamanho do desafio, sei que não devo parar de lutar. Fiquem todos com Deus e obrigada por tudo! Sr. Presidente, gostaria que este meu pronunciamento fosse divulgado no programa A Voz do Brasil. Muito obrigada e até breve, meus amigos! (Palmas.)"
Hildo Rocha,MDB,MA,182.2022,ORDEM DO DIA,21/12/2022,17h12,DCD22/12/2022 PAG. 183,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2760489&nuOrador=1&nuInsercao=1&dtHorarioQuarto=17%3A12&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=17%3A12,"Orientação de bancada na votação, em segundo turno, da Proposta de Emenda à Constituição nº 32, de 2022, sobre a alteração do Ato das Disposições Constitucionais Transitórias, com vista à implementação do Programa Bolsa Família e à definição das regras de transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, ressalvados os destaques.","O SR. HILDO ROCHA (MDB - MA. Pela ordem. Sem revisão do orador.) - Sr. Presidente Arthur Lira, o MDB orienta ""sim"". Já foi bastante debatida esta PEC, que veio do Senado e foi apensada à PEC da Deputada Luisa Canziani. Nós sabemos da sua importância, para que possamos continuar a pagar o Bolsa Família de 600 reais, mais 150 por criança na família, para abrir crédito para construir casas populares principalmente na área rural, por meio do PNHR, para recompor os recursos de diversos Ministérios que estão em defasagem, entre os quais o Ministério da Educação, para concluir a construção de várias creches que estão inacabadas, enfim, para ajudar a diminuir as desigualdades sociais. O MDB orienta ""sim"" porque é a favor do povo brasileiro."
Hildo Rocha,MDB,MA,182.2022,ORDEM DO DIA,21/12/2022,17h00,DCD22/12/2022 PAG. 180,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2760470&nuOrador=1&nuInsercao=1&dtHorarioQuarto=17%3A00&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=17%3A00,"Encaminhamento da votação, em segundo turno, da Proposta de Emenda à Constituição nº 32, de 2022, sobre a alteração do Ato das Disposições Constitucionais Transitórias, com vista à implementação do Programa Bolsa Família e à definição das regras de transição da Presidência da República aplicáveis à Lei Orçamentária de 2023.","O SR. HILDO ROCHA (MDB - MA. Sem revisão do orador.) - Sr. Presidente Arthur Lira, eu acho que já se esgotaram todos os argumentos quanto à importância da aprovação desta PEC. Tudo o que eu disser agora será repetitivo. Eu mesmo já falei várias vezes. Para acelerarmos o processo de votação, para que esta proposta vá logo ao Senado, eu encaminho favoravelmente a esta PEC porque ela, sem dúvida nenhuma, favorece o povo brasileiro."
Osmar Terra,MDB,RS,182.2022,ORDEM DO DIA,21/12/2022,15h32,DCD22/12/2022 PAG. 155,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2761267&nuOrador=1&nuInsercao=1&dtHorarioQuarto=15%3A32&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Osmar+Terra&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=15%3A32,Defesa de cumprimento do teto de gastos públicos preconizado no texto constitucional.,"O SR. OSMAR TERRA (MDB - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, eu só queria fazer uma observação. Quando se considera o teto de gastos matéria constitucional, dá-se um tratamento adequado para uma das coisas mais importantes que um país pode ter: o controle de gastos, estabelecido na Constituição Federal. Isso não é uma coisa simples, pois mexe com toda a economia: com a inflação, com a credibilidade do País, com tudo. Quando se coloca na Constituição Federal o teto de gastos, ele tem que ser respeitado. Nós temos que ressaltar isso como uma questão fundamental para o futuros dos nossos filhos. Nós não queremos só resolver um problema imediato, mas garantir um futuro melhor para o povo brasileiro. Essa prosperidade que hoje há no agronegócio, em que praticamente não há mais desemprego, que ajuda a iniciativa privada a investir, tem base na credibilidade do teto de gastos. Eu queria destacar isso como essencial a toda a política econômica deste País. É uma questão de responsabilidade com o futuro dos pobres, dos que mais precisam. É a mesma lógica que segue uma família: a de não gastar mais do que ganha todo mês. É isso que se está pedindo a um país sério. O Brasil tem que continuar sendo um país sério."
Hildo Rocha,MDB,MA,182.2022,ORDEM DO DIA,21/12/2022,15h00,DCD22/12/2022 PAG. 147,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2760374&nuOrador=1&nuInsercao=1&dtHorarioQuarto=15%3A00&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=15%3A00,"Orientação de bancada na votação do requerimento de destaque supressivo do art. 6º da Proposta de Emenda à Constituição nº 32, de 2022, sobre a alteração do Ato das Disposições Constitucionais Transitórias, com vista à implementação do Programa Bolsa Família e à definição das regras de transição da Presidência da República aplicáveis à Lei Orçamentária de 2023. (Requerimento de destaque apresentado à PEC nº 24, de 2019).","O SR. HILDO ROCHA (MDB - MA. Pela ordem. Sem revisão do orador.) - Deputado Arthur Lira, entendemos que a Emenda Constitucional nº 95, que criou o novo regime fiscal e estabeleceu o teto de gastos, foi muito importante para aquela época, uma vez que houve recessão em 2 anos seguidos: 2015 e 2016. O novo regime fiscal fez com que estancássemos o que estávamos passando na economia: uma grave recessão. Na PEC 95 está estabelecido que o Governo irá mandar uma nova proposta de ancoragem fiscal, diferente das regras estabelecidas na Emenda Constitucional nº 95, e vai mandar por lei complementar, e não tem problema nenhum em relação a isso. Eu acho até que facilita a tramitação, é a melhor forma de estabelecer uma ancoragem fiscal. O MDB orienta ""sim""."
Hildo Rocha,MDB,MA,182.2022,ORDEM DO DIA,21/12/2022,14h24,DCD22/12/2022 PAG. 136,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=182.2022&nuQuarto=2760145&nuOrador=1&nuInsercao=1&dtHorarioQuarto=14%3A24&sgFaseSessao=OD&Data=21%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=14%3A24,"Encaminhamento da votação do requerimento de retirada de pauta da Proposta de Emenda à Constituição nº 24, de 2019, sobre a inserção do inciso V ao § 6º do art. 107 do Ato das Disposições Constitucionais Transitórias, com vista à exclusão de gastos de instituições federais de ensino, nos termos especificados, da base de cálculo e dos limites individualizados para as despesas primárias.","O SR. HILDO ROCHA (MDB - MA. Sem revisão do orador.) - Sr. Presidente da Câmara, Deputado Arthur Lira, Sras. e Srs. Deputados, nós temos que votar hoje ainda, possivelmente na tarde de hoje, a continuação da Emenda Constitucional nº 24, de autoria da Deputada Luisa Canziani, à qual está apensada a PEC 32, de autoria do Senador Marcelo Castro, que veio lá do Senado. Essa PEC permite abrir, dentro do Orçamento da União, a possibilidade de poder pagar os 600 reais do Bolsa Família e 150 reais por criança com menos de 6 anos de idade. Isso é valorizar a primeira infância, dar condições iguais a todos os brasileiros, para que, no futuro, nós possamos ter uma sociedade melhor. Dizer que é um cheque em branco eu acredito até que é um equívoco, porque essa PEC está autorizando que se gastem, acima do teto, 145 bilhões mais vinte e poucos bilhões de reais, mas quem vai aprovar onde serão alocados esses recursos somos nós aqui em reuniões do Congresso Nacional. Vai ter que ter a aprovação na Comissão Mista de Orçamento e, depois, a aprovação na sessão conjunta da Câmara e do Senado. Portanto, não vai ser de desconhecimento de ninguém. O que vai ser aprovado desse limite que nós estamos excepcionalizando, em função ainda das consequências da COVID, será de conhecimento público, até porque o Orçamento é público e passa por etapas, primeiro pela Comissão Mista de Orçamento e, depois, pela sessão do Plenário do Congresso Nacional. Então, nós temos que analisar e ver se realmente vai ser utilizado naquilo que nós queremos. Pelo que eu já pude conversar com o Relator, ele vai utilizar esses recursos para que nós possamos ter manutenção das nossas rodovias federais. Não existe recurso para que o DNIT possa sequer tapar buracos nas nossas rodovias. Não há recurso suficiente para comprar os medicamentos e subsidiar o Farmácia Popular. Portanto, são recursos para políticas públicas em que nós já estamos alocando recurso ao longo dos últimos anos. Nós estamos apenas fazendo com que esses recursos não diminuam em 2023 em relação a 2022. Nós estamos possibilitando até mesmo fazer uma recomposição e nós teremos este ano uma arrecadação maior do que a projetada em mais de 300 bilhões de reais. Portanto, eu sou contra o requerimento de retirada de pauta desta matéria."
Isnaldo Bulhões Jr.,MDB,AL,181.2022,ORDEM DO DIA,20/12/2022,22h32,DCD21/12/2022 PAG. 301,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=181.2022&nuQuarto=2755040&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A32&sgFaseSessao=OD&Data=20%2F12%2F2022&txApelido=Isnaldo+Bulh%C3%B5es+Jr.&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A32,"Orientação de bancada na votação, em primeiro turno, do substitutivo oferecido pelo Relator da Comissão Especial à Proposta de Emenda à Constituição nº 32, de 2022, sobre a alteração do Ato das Disposições Constitucionais Transitórias, com vista à implementação do Programa Bolsa Família e à definição das regras de transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, ressalvados os destaques.","O SR. ISNALDO BULHÕES JR. (MDB - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o MDB orienta sim. E eu quero registrar que é muito duro na política assistirmos à incoerência. Alguns meses atrás, este Plenário discutia a garantia do auxílio de 600 reais no mesmo método que agora estamos discutindo. O MDB, naquele momento, votou ""sim"" ao auxílio de 600 reais.  Nós retornamos a essa discussão lamentando que, num país que tem 30 milhões de pessoas abaixo da linha da pobreza, aqueles que defenderam essa garantia votem, hoje, contra o pobre brasileiro. Quem vota contra esta PEC vota contra o auxílio de 600 reais e os 150 reais das crianças da primeira infância. É lamentável que assistamos a isso aqui."
Hildo Rocha,MDB,MA,181.2022,ORDEM DO DIA,20/12/2022,22h00,DCD21/12/2022 PAG. 290,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=181.2022&nuQuarto=2756445&nuOrador=1&nuInsercao=1&dtHorarioQuarto=22%3A00&sgFaseSessao=OD&Data=20%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=22%3A00,"Encaminhamento da votação da Proposta de Emenda à Constituição nº 24, de 2019, sobre a inserção do inciso V ao § 6º do art. 107 do Ato das Disposições Constitucionais Transitórias, com vista à exclusão de gastos de instituições federais de ensino, nos termos especificados, da base de cálculo e dos limites individualizados para as despesas primárias.","O SR. HILDO ROCHA (MDB - MA. Sem revisão do orador.) - Sr. Presidente, falarei rapidamente, em virtude do horário, Nós encaminhamos favoravelmente à aprovação dessa proposta de emenda à Constituição porque ela vem socorrer as pessoas mais pobres, as famílias mais pobres do Brasil com o Bolsa Família de 600 reais, que não está garantido no Orçamento, além de abrir espaço orçamentário para a construção de habitação popular na área rural e também na área urbana em virtude do déficit habitacional. Além disso, ainda libera recursos para que o DNIT possa fazer a manutenção das nossas rodovias, tendo em vista a diminuição dos recursos destinados ao DNIT para o ano de 2023. Então, é importante que votemos logo. Portanto, eu fico com este argumento: que nós temos que votar a favor da PEC no dia de hoje, nos dois turnos. Muito obrigado, Sr. Presidente."
Hildo Rocha,MDB,MA,181.2022,ORDEM DO DIA,20/12/2022,20h48,DCD21/12/2022 PAG. 270,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=181.2022&nuQuarto=2755977&nuOrador=1&nuInsercao=1&dtHorarioQuarto=20%3A48&sgFaseSessao=OD&Data=20%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=20%3A48,"Discussão da Proposta de Emenda à Constituição nº 24, de 2019, sobre a inserção do inciso V ao § 6º do art. 107 do Ato das Disposições Constitucionais Transitórias, com vista à exclusão de gastos de instituições federais de ensino, nos termos especificados, da base de cálculo e dos limites individualizados para as despesas primárias.","O SR. HILDO ROCHA (MDB - MA. Sem revisão do orador.) - Sr. Presidente, Deputado Arthur Lira, Srs. Deputados, Sras. Deputadas, nós, neste momento, estamos deliberando sobre a PEC 24, de autoria da Deputada Luisa Canziani, e está apensada a ela a PEC 32, que teve uma belíssima relatoria do nosso querido Relator. Esta PEC faz várias alterações na nossa Constituição — entre elas, a alteração no teto de gastos. Eu aqui, como muitos dos Srs. Deputados e Deputadas, votei a favor da PEC do Teto de Gastos, que é a Emenda Constitucional nº 95. Ela foi importante naquele momento, porque nós vínhamos, em 2016, de 2 anos seguidos de recessão. Em 2015, tivemos uma recessão de 3,02% do PIB e, em 2016, tivemos uma recessão também. Essa Emenda Constitucional, esse teto de gastos estancou essa recessão, e o Brasil voltou a crescer. O que nós estamos fazendo aqui, hoje, é alterando essa regra do teto de gastos. Nós não estamos acabando com ela. Possivelmente ano que vem virá uma nova ancoragem fiscal, mais atualizada, um pouco diferente do que foi essa usada lá em 2016 e que trouxe bons resultados. Havia necessidade de aperfeiçoamento. Vejam os senhores. Este ano a arrecadação do Governo Federal terá um excesso de 300 milhões de reais. Vamos ter um excesso de arrecadação de 300 milhões de reais. Nós teremos um superávit fiscal primário em torno de 40 bilhões de reais. Então, as contas todas favorecem, os números favorecem essa mudança. Alguns chamam isto aqui de ""PEC da gastança"". Eu prefiro chamar de PEC da poupança futura. Por quê? Porque parte dos recursos que nós estamos possibilitando abrir no Orçamento de 2023 com esta proposta de emenda à Constituição vai ser utilizada no social, principalmente na defesa da primeira infância. E aqui eu sei que há uma Frente Parlamentar em defesa da primeira infância. Eu quero saber a posição desses Deputados que defendem a primeira infância, porque aqui, agora, na PEC, cada criança menor de 6 anos, faixa que é justamente a da primeira infância, vai receber 150 reais por mês. Somente isso não soluciona o problema das desigualdades sociais, mas vai ajudar a diminuir as desigualdades sociais. E é uma poupança futura porque, daqui a 15 anos, 20 anos, nós vamos gastar muito menos com o social, pois teremos uma sociedade mais igual, uma sociedade em que poderemos olhar para o vizinho, para aqueles que estão no metrô, no ônibus — podemos ter a certeza de que eles estão tendo melhores condições, nós que somos Deputados. Então, nós temos que dar essa oportunidade à nova geração, temos que fazer com que o Brasil melhore. Além disso, há recurso aqui para investimento. Passamos 4 anos sem construir uma casa na área rural do nosso País. Como é que nós queremos diminuir a grande quantidade de migrantes das pequenas cidades para as regiões metropolitanas — para ficar na periferia das regiões metropolitanas —, se não investimos em habitação, em educação na área rural, se não investimos em estradas, se não cuidamos das nossas estradas, se não cuidamos da saúde e da educação? Haverá condições de concluir as creches que estão aí para serem concluídas, as escolas, que têm que ser concluídas. Portanto, esta PEC chega em boa hora. De forma alguma teremos irresponsabilidade fiscal. Sim, nós teremos responsabilidade social e responsabilidade fiscal, porque de nada adianta termos apenas responsabilidade fiscal, e não termos responsabilidade social. Por isso, eu peço aos Deputados e às Deputadas que votem a favor da PEC 32, que foi apensada à PEC 24. E quero cumprimentar o Deputado Elmar, que empoderou ainda mais o Legislativo brasileiro. Muito obrigado, Sr. Presidente."
Hildo Rocha,MDB,MA,181.2022,ORDEM DO DIA,20/12/2022,20h32,DCD21/12/2022 PAG. 265,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=181.2022&nuQuarto=2755926&nuOrador=1&nuInsercao=1&dtHorarioQuarto=20%3A32&sgFaseSessao=OD&Data=20%2F12%2F2022&txApelido=Hildo+Rocha&txFaseSessao=Ordem+do+Dia&txTipoSessao=Ordin%C3%A1ria+-+CD&dtHoraQuarto=20%3A32,"Orientação de bancada na votação do requerimento de adiamento, por cinco sessões, da discussão da Proposta de Emenda à Constituição nº 24, de 2019, sobre a inserção do inciso V ao § 6º do art. 107 do Ato das Disposições Constitucionais Transitórias, com vista à exclusão de gastos de instituições federais de ensino, nos termos especificados, da base de cálculo e dos limites individualizados para as despesas primárias.","O SR. HILDO ROCHA (MDB - MA. Pela ordem. Sem revisão do orador.) - O MDB prefere a estabilidade à instabilidade. Uma liminar é uma instabilidade, não é uma decisão do Supremo Tribunal, que é formado por 11 Ministros. Um Ministro só não representa a totalidade do Supremo. Portanto, nós temos que garantir às pessoas que precisam do auxílio do poder público federal, do Bolsa Família ou do Auxílio Brasil, qualquer que seja o tipo de transferência de renda direta às famílias mais pobres, os 600 reais, ano que vem, mais 150 reais por criança menor de 6 anos que a família tiver, porque isso é fomentar e melhorar a primeira infância. Por isso, o MDB orienta ""não""."
