doc_id,topic,probability
0,0,0.21819048
0,1,0.1690955
0,2,0.14448178
0,3,0.21369882
0,4,0.12709026
0,5,0.12744318
1,0,0.62768036
1,1,0.37092364
1,2,0.0003291904
1,3,0.00048689602
1,4,0.0002895652
1,5,0.00029036932
2,0,0.996629
2,1,0.000729111
2,2,0.0006229808
2,3,0.0009214329
2,4,0.00054799154
2,5,0.0005495133
3,0,0.99880445
3,1,0.0002585834
3,2,0.00022094371
3,3,0.00032679146
3,4,0.00019434834
3,5,0.00019488804
4,0,0.9983395
4,1,0.00035914505
4,2,0.0003068675
4,3,0.00045387883
4,4,0.00026992933
4,5,0.00027067892
5,0,0.999367
5,1,0.00013689496
5,2,0.000116968375
5,3,0.00017300455
5,4,0.00010288869
5,5,0.00010317441
6,0,0.0004340492
6,1,0.0003363839
6,2,0.0002874195
6,3,0.00042511386
6,4,0.99826354
6,5,0.0002535244
7,0,0.0004143985
7,1,0.00032115483
7,2,0.00027440715
7,3,0.9985066
7,4,0.00024137631
7,5,0.0002420466
8,0,0.9996339
8,1,7.9199395e-05
8,2,6.767104e-05
8,3,0.000100090285
8,4,5.9525362e-05
8,5,5.9690665e-05
9,0,0.0005814816
9,1,0.0004506426
9,2,0.00038504656
9,3,0.99790454
9,4,0.00033869786
9,5,0.0003396384
10,0,0.00017329412
10,1,0.00013430126
10,2,0.00011475221
10,3,0.99937546
10,4,0.000100939294
10,5,0.0001012196
11,0,0.00075858255
11,1,0.0005878941
11,2,0.0005023196
11,3,0.58490986
11,4,0.00044185453
11,5,0.41279957
12,0,0.00054660835
12,1,0.00042361618
12,2,0.00036195412
12,3,0.0005353559
12,4,0.9978132
12,5,0.00031926925
13,0,0.47942525
13,1,0.000959859
13,2,0.0008201408
13,3,0.0012130466
13,4,0.0007214191
13,5,0.51686025
14,0,0.9979165
14,1,0.00045062276
14,2,0.00038502962
14,3,0.0005694862
14,4,0.00033868293
14,5,0.00033962345
15,0,0.00033775417
15,1,0.0002617562
15,2,0.00022365467
15,3,0.00033080118
15,4,0.99864876
15,5,0.00019727931
16,0,0.00012737513
16,1,9.871449e-05
16,2,0.9995005
16,3,0.00012475299
16,4,7.4192685e-05
16,5,7.439872e-05
17,0,9.3169154e-05
17,1,7.220519e-05
17,2,6.1694926e-05
17,3,0.99966425
17,4,5.42686e-05
17,5,5.4419303e-05
18,0,0.0014328246
18,1,0.9945436
18,2,0.00094879046
18,3,0.0014033286
18,4,0.00083458296
18,5,0.00083690055
19,0,0.00024437802
19,1,0.99906933
19,2,0.0001618227
19,3,0.00023934728
19,4,0.00014234382
19,5,0.00014273911
20,0,0.0005257512
20,1,0.00040745208
20,2,0.0003481429
20,3,0.99810535
20,4,0.00030623635
20,5,0.00030708677
21,0,0.99742466
21,1,0.00055700867
21,2,0.00047592988
21,3,0.0007039342
21,4,0.0004186414
21,5,0.00041980395
22,0,0.00043408494
22,1,0.9983469
22,2,0.00028744317
22,3,0.0004251489
22,4,0.00025284314
22,5,0.0002535453
23,0,0.0002582117
23,1,0.00020011155
23,2,0.0001709831
23,3,0.99906945
23,4,0.00015040157
23,5,0.00015081922
24,0,0.00040823707
24,1,0.00031637977
24,2,0.00027032717
24,3,0.9985288
24,4,0.00023778743
24,5,0.00023844776
25,0,0.99844456
25,1,0.00033641298
25,2,0.00028744433
25,3,0.00042515062
25,4,0.00025284418
25,5,0.0002535463
26,0,0.0004634281
26,1,0.00035915227
26,2,0.00030687367
26,3,0.00045388797
26,4,0.998146
26,5,0.00027068437
27,0,0.00038525
27,1,0.9985329
27,2,0.00025510555
27,3,0.00037731926
27,4,0.00022439807
27,5,0.00022502121
28,0,0.00017006074
28,1,0.00013179542
28,2,0.00011261113
28,3,0.00016655987
28,4,9.905594e-05
28,5,0.9993199
29,0,0.0002709825
29,1,0.00021000882
29,2,0.9989375
29,3,0.0002654041
29,4,0.00015784024
29,5,0.00015827855
30,0,7.115058e-05
30,1,5.514101e-05
30,2,0.9997211
30,3,6.968588e-05
30,4,4.1443356e-05
30,5,4.1558444e-05
31,0,0.00031092932
31,1,0.0002409672
31,2,0.00020589175
31,3,0.00030452854
31,4,0.9987561
31,5,0.00018161113
32,0,0.00014042761
32,1,0.000108830034
32,2,9.298861e-05
32,3,0.00013753677
32,4,8.179541e-05
32,5,0.9994384
33,0,0.0008803269
33,1,0.00068224483
33,2,0.9965483
33,3,0.0008622045
33,4,0.00051276747
33,5,0.0005141914
34,0,0.008765931
34,1,0.0067935116
34,2,0.0058046402
34,3,0.008585476
34,4,0.96493036
34,5,0.005120105
35,0,0.9989342
35,1,0.00023051759
35,2,0.00019696318
35,3,0.00029132256
35,4,0.00017325439
35,5,0.0001737355
36,0,0.0002073944
36,1,0.99921024
36,2,0.00013733281
36,3,0.00020312499
36,4,0.00012080183
36,5,0.00012113729
37,0,0.000111325266
37,1,8.6276e-05
37,2,0.9995635
37,3,0.00010903353
37,4,6.484406e-05
37,5,6.502413e-05
38,0,0.0016993788
38,1,0.0013170021
38,2,0.0011252979
38,3,0.99387586
38,4,0.0009898439
38,5,0.0009925925
39,0,0.00012678074
39,1,9.825385e-05
39,2,8.3951905e-05
39,3,0.00012417084
39,4,0.9994928
39,5,7.405154e-05
40,0,0.00015918625
40,1,0.0001233678
40,2,0.99937576
40,3,0.00015590925
40,4,9.2721835e-05
40,5,9.2979324e-05
41,0,6.664964e-05
41,1,0.99974626
41,2,4.413418e-05
41,3,6.527759e-05
41,4,3.8821676e-05
41,5,3.892948e-05
42,0,0.9995696
42,1,9.309201e-05
42,2,7.954143e-05
42,3,0.000117647425
42,4,6.996689e-05
42,5,7.0161186e-05
43,0,0.00062095496
43,1,0.00048123408
43,2,0.0004111851
43,3,0.000608172
43,4,0.9975158
43,5,0.00036269444
44,0,0.00033774922
44,1,0.00026175237
44,2,0.0002236514
44,3,0.00033079632
44,4,0.99864876
44,5,0.00019727641
45,0,0.21819048
45,1,0.1690955
45,2,0.14448178
45,3,0.21369882
45,4,0.12709026
45,5,0.12744318
46,0,0.0002225409
46,1,0.00017246704
46,2,0.9991274
46,3,0.00021795968
46,4,0.00012962426
46,5,0.00012998423
47,0,0.99934596
47,1,0.00014145096
47,2,0.0001208612
47,3,0.0001787623
47,4,0.00010631293
47,5,0.00010660816
48,0,0.0001862344
48,1,0.00014432985
48,2,0.00012332104
48,3,0.00018240059
48,4,0.00010847668
48,5,0.99925524
49,0,0.9994017
49,1,0.0001293915
49,2,0.00011055712
49,3,0.00016352184
49,4,9.724917e-05
49,5,9.751923e-05
50,0,0.00028806282
50,1,0.0002232459
50,2,0.00019074997
50,3,0.99896187
50,4,0.00016778907
50,5,0.00016825502
51,0,0.99800116
51,1,0.00043231354
51,2,0.0003693855
51,3,0.0005463474
51,4,0.00032492194
51,5,0.00032582422
52,0,0.00018752046
52,1,0.99928594
52,2,0.00012417264
52,3,0.00018366017
52,4,0.000109225766
52,5,0.000109529086
53,0,0.00018012276
53,1,0.999314
53,2,0.00011927402
53,3,0.00017641476
53,4,0.000104916806
53,5,0.00010520815
54,0,0.99839365
54,1,0.00034743155
54,2,0.000296859
54,3,0.0004390756
54,4,0.0002611256
54,5,0.00026185074
55,0,0.00016202332
55,1,0.9993829
55,2,0.000107288906
55,3,0.00015868792
55,4,9.437436e-05
55,5,9.463643e-05
56,0,0.00017895648
56,1,0.00013868955
56,2,0.00011850174
56,3,0.999355
56,4,0.00010423748
56,5,0.000104526946
57,0,0.00015298199
57,1,0.000118559554
57,2,0.00010130189
57,3,0.99944866
57,4,8.910801e-05
57,5,8.935546e-05
58,0,0.00019280128
58,1,0.99926573
58,2,0.00012766951
58,3,0.00018883227
58,4,0.00011230171
58,5,0.00011261357
59,0,0.00042730613
59,1,0.0003311581
59,2,0.9983245
59,3,0.00041850962
59,4,0.00024889465
59,5,0.00024958584
60,0,0.99857956
60,1,0.00030721934
60,2,0.00026250017
60,3,0.0003882564
60,4,0.00023090256
60,5,0.00023154377
61,0,0.00050625764
61,1,0.00039234475
61,2,0.00033523462
61,3,0.00049583585
61,4,0.00029488184
61,5,0.9979754
62,0,0.00040222015
62,1,0.00031171672
62,2,0.0002663429
62,3,0.00039394008
62,4,0.00023428274
62,5,0.9983915
63,0,0.024343096
63,1,0.90729755
63,2,0.016119557
63,3,0.02384197
63,4,0.014179218
63,5,0.014218592
64,0,0.0005814829
64,1,0.0004506436
64,2,0.0003850474
64,3,0.99790454
64,4,0.0003386986
64,5,0.00033963917
65,0,0.00020738631
65,1,0.00016072238
65,2,0.9991868
65,3,0.00020311706
65,4,0.000120797115
65,5,0.00012113256
66,0,0.00015646056
66,1,0.00012125542
66,2,0.00010360534
66,3,0.00015323967
66,4,0.99937403
66,5,9.138727e-05
67,0,0.00015382908
67,1,0.00011921604
67,2,0.000101862825
67,3,0.00015066235
67,4,0.9993846
67,5,8.985024e-05
68,0,0.9981164
68,1,0.00040740066
68,2,0.00034809895
68,3,0.0005148631
68,4,0.00030619767
68,5,0.000307048
69,0,0.45691878
69,1,0.0005041796
69,2,0.18110037
69,3,0.3607177
69,4,0.00037893569
69,5,0.00037998796
70,0,0.0007003477
70,1,0.0005427627
70,2,0.99725395
70,3,0.00068593037
70,4,0.00040793425
70,5,0.00040906708
71,0,0.64309347
71,1,0.35523814
71,2,0.00039341472
71,3,0.0005818883
71,4,0.00034605872
71,5,0.0003470197
72,0,0.00017439453
72,1,0.00013515407
72,2,0.9993162
72,3,0.00017080446
72,4,0.00010158026
72,5,0.000101862344
73,0,0.9995371
73,1,0.000100117555
73,2,8.554433e-05
73,3,0.00012652615
73,4,7.524721e-05
73,5,7.545617e-05
74,0,0.9945831
74,1,0.0011716195
74,2,0.0010010772
74,3,0.0014806645
74,4,0.00088057586
74,5,0.0008830212
75,0,0.00010069618
75,1,7.803857e-05
75,2,6.667918e-05
75,3,0.9996371
75,4,5.86529e-05
75,5,5.8815775e-05
76,0,0.00032191793
76,1,0.00024948327
76,2,0.00021316823
76,3,0.99883986
76,4,0.0001875088
76,5,0.0001880295
77,0,0.0002911215
77,1,0.00022561636
77,2,0.00019277539
77,3,0.99895084
77,4,0.00016957069
77,5,0.00017004157
78,0,0.00026065565
78,1,0.0002020056
78,2,0.00017260145
78,3,0.99906063
78,4,0.00015182511
78,5,0.00015224672
79,0,0.99684554
79,1,0.0006822748
79,2,0.0005829621
79,3,0.0008622424
79,4,0.00051279
79,5,0.000514214
80,0,0.00012797215
80,1,9.917717e-05
80,2,8.474083e-05
80,3,0.9995388
80,4,7.454043e-05
80,5,7.4747426e-05
81,0,0.0004882121
81,1,0.00037835963
81,2,0.0003232852
81,3,0.0004781618
81,4,0.0002843708
81,5,0.9980476
82,0,0.00015737381
82,1,0.00012196318
82,2,0.000104210085
82,3,0.9994328
82,4,9.166614e-05
82,5,9.192069e-05
83,0,0.00051579165
83,1,0.00039973352
83,2,0.00034154786
83,3,0.9981412
83,4,0.00030043517
83,5,0.00030126947
84,0,0.00031451634
84,1,0.00024374711
84,2,0.9987668
84,3,0.00030804172
84,4,0.00018319755
84,5,0.00018370629
85,0,0.0014328088
85,1,0.9945437
85,2,0.00094878
85,3,0.001403313
85,4,0.0008345737
85,5,0.0008368913
86,0,0.0002013004
86,1,0.99923337
86,2,0.00013329748
86,3,0.00019715643
86,4,0.00011725223
86,5,0.00011757783
87,0,0.99927866
87,1,0.00015600194
87,2,0.00013329412
87,3,0.00019715149
87,4,0.000117249285
87,5,0.000117574884
88,0,0.00018882664
88,1,0.00014633882
88,2,0.00012503756
88,3,0.99931943
88,4,0.000109986584
88,5,0.000110292014
89,0,0.00016798184
89,1,0.9993603
89,2,0.00011123453
89,3,0.00016452378
89,4,9.784503e-05
89,5,9.811675e-05
90,0,0.00016298187
90,1,0.9993794
90,2,0.00010792364
90,3,0.00015962674
90,4,9.4932686e-05
90,5,9.519631e-05
91,0,0.00062096724
91,1,0.0004812436
91,2,0.00041119324
91,3,0.000608184
91,4,0.00036169722
91,5,0.9975167
92,0,5.7919144e-05
92,1,4.4886776e-05
92,2,3.8353006e-05
92,3,0.99979126
92,4,3.373639e-05
92,5,3.3830074e-05
93,0,0.0001316555
93,1,0.00010203173
93,2,8.717988e-05
93,3,0.00012894523
93,4,7.668589e-05
93,5,0.9994735
94,0,9.4770236e-05
94,1,7.344601e-05
94,2,6.275513e-05
94,3,9.28193e-05
94,4,5.5201188e-05
94,5,0.99962103
