doc_id,topic,probability
0,0,0.001958559
0,1,0.0007047773
0,2,0.0017294355
0,3,0.00076648715
0,4,0.0010139861
0,5,0.99283415
0,6,0.0009926469
1,0,0.004068313
1,1,0.0014639613
1,2,0.0035923782
1,3,0.001592145
1,4,0.002106249
1,5,0.985115
1,6,0.0020619233
2,0,0.00067862595
2,1,0.0002442
2,2,0.00059923634
2,3,0.9968366
2,4,0.00035133853
2,5,0.0009460254
2,6,0.00034394464
3,0,0.9993527
3,1,5.7456306e-05
3,2,0.0001409906
3,3,6.2487146e-05
3,4,8.2664264e-05
3,5,0.00022258438
3,6,8.0924605e-05
4,0,0.99893576
4,1,9.4503004e-05
4,2,0.00023189856
4,3,0.00010277762
4,4,0.00013596455
4,5,0.00036610238
4,6,0.0001331032
5,0,0.00021277602
5,1,0.9990015
5,2,0.00018788424
5,3,8.3270446e-05
5,4,0.0001101585
5,5,0.0002966162
5,6,0.00010784023
6,0,0.34019515
6,1,0.0002569113
6,2,0.19156076
6,3,0.0002794063
6,4,0.00036962665
6,5,0.46697623
6,6,0.00036184792
7,0,0.0007955852
7,1,0.00028628722
7,2,0.00070251303
7,3,0.00031135435
7,4,0.996392
7,5,0.0011090705
7,6,0.00040322257
8,0,0.9990605
8,1,8.342439e-05
8,2,0.00020471304
8,3,9.072898e-05
8,4,0.0001200254
8,5,0.00032318413
8,6,0.000117499476
9,0,0.9997904
9,1,1.8611954e-05
9,2,4.567141e-05
9,3,2.0241607e-05
9,4,2.6777627e-05
9,5,7.210227e-05
9,6,2.6214095e-05
10,0,0.42493927
10,1,0.00037191185
10,2,0.0009126252
10,3,0.00040447622
10,4,0.0005350817
10,5,0.5723127
10,6,0.000523821
11,0,0.0004874768
11,1,0.00017541599
11,2,0.0004304489
11,3,0.0001907753
11,4,0.0002523767
11,5,0.9982164
11,6,0.00024706547
12,0,0.9995616
12,1,3.890906e-05
12,2,9.5477975e-05
12,3,4.2315914e-05
12,4,5.5979734e-05
