doc_id,topic,probability
0,0,0.91375345
0,1,5.0677718e-05
0,2,0.08600653
0,3,8.562951e-05
0,4,4.434473e-05
0,5,5.9335867e-05
1,0,0.00094037247
1,1,0.997417
1,2,0.00049613236
1,3,0.0005186135
1,4,0.00026857303
1,5,0.00035936656
2,0,0.6252642
2,1,0.00013163315
2,2,0.00021277736
2,3,0.37412196
2,4,0.000115183495
2,5,0.0001541223
3,0,0.20648165
3,1,0.43843508
3,2,0.0006299055
3,3,0.00065844826
3,4,0.0003409889
3,5,0.35345387
4,0,0.62309533
4,1,0.00039583043
4,2,0.00063983694
4,3,0.0006688298
4,4,0.00034636512
4,5,0.37485376
5,0,0.0010165629
5,1,0.00033179444
5,2,0.0005363265
5,3,0.99743646
5,4,0.00029033146
5,5,0.00038848064
6,0,0.0024958923
6,1,0.00081463857
6,2,0.0013168161
6,3,0.99370605
6,4,0.00071283657
6,5,0.00095381733
7,0,0.0009066275
7,1,0.00029591456
7,2,0.00047832876
7,3,0.73828655
7,4,0.00025893532
7,5,0.2597737
8,0,0.0004306103
8,1,0.00014054678
8,2,0.00022718572
8,3,0.99891406
8,4,0.00012298323
8,5,0.0001645588
9,0,0.0012959519
9,1,0.00042298553
9,2,0.996701
9,3,0.0007147134
9,4,0.00037012677
9,5,0.00049525144
10,0,0.521466
10,1,0.0004715694
10,2,0.15087545
10,3,0.00079680496
10,4,0.00041263932
10,5,0.32597747
11,0,0.26251048
11,1,0.0002559649
11,2,0.00041375245
11,3,0.00043250073
11,4,0.00022397803
11,5,0.7361633
12,0,0.6708231
12,1,0.0003719731
12,2,0.18304032
12,3,0.0006285183
12,4,0.00032548915
12,5,0.14481054
13,0,0.59208405
13,1,0.00014739925
13,2,0.00023826235
13,3,0.00024905868
13,4,0.00012897937
13,5,0.4071523
14,0,0.00045131033
14,1,0.4996857
14,2,0.10330269
14,3,0.0002488958
14,4,0.00012889503
14,5,0.39618257
15,0,0.0023420434
15,1,0.99356675
15,2,0.0012356378
15,3,0.001291628
15,4,0.00066889205
15,5,0.000895017
16,0,0.65720403
16,1,0.039667446
16,2,0.3020483
16,3,0.000488627
16,4,0.00025304398
16,5,0.0003385878
17,0,0.0013660409
17,1,0.0004458612
17,2,0.99652255
17,3,0.0007533661
17,4,0.00039014374
