doc_id,topic,probability
0,0,0.0002087823
0,1,0.67726415
0,2,0.32168934
0,3,0.00025537546
0,4,0.00022774567
0,5,0.00018375835
0,6,0.00017080658
1,0,3.7829912e-05
1,1,3.932145e-05
1,2,0.9997712
1,3,4.627227e-05
1,4,4.1265946e-05
1,5,3.3295746e-05
1,6,3.0948973e-05
2,0,0.0005131643
2,1,0.00053339713
2,2,0.0005206371
2,3,0.0006276853
2,4,0.99693364
2,5,0.00045165818
2,6,0.00041982412
3,0,0.00063704
3,1,0.0006621569
3,2,0.9961449
3,3,0.0007792059
3,4,0.0006949014
3,5,0.0005606865
3,6,0.0005211679
4,0,0.0004575795
4,1,0.00047562073
4,2,0.00046424282
4,3,0.9973263
4,4,0.00049914076
4,5,0.00040273558
4,6,0.0003743497
5,0,4.908729e-05
5,1,5.1022682e-05
5,2,4.9802104e-05
5,3,0.9997131
5,4,5.3545817e-05
5,5,4.3203854e-05
5,6,4.015873e-05
6,0,2.4129044e-05
6,1,0.9998546
6,2,2.4480412e-05
6,3,2.9513832e-05
6,4,2.6320648e-05
6,5,2.1237018e-05
6,6,1.9740177e-05
7,0,0.000101944504
7,1,0.000105963925
7,2,0.00010342903
7,3,0.9994043
7,4,0.000111203975
7,5,8.972578e-05
7,6,8.3401676e-05
8,0,3.845085e-05
8,1,3.996687e-05
8,2,3.9010774e-05
8,3,4.7031783e-05
8,4,4.1943284e-05
8,5,0.9997621
8,6,3.145697e-05
9,0,0.0004211349
9,1,0.0004377392
9,2,0.00042726749
9,3,0.000515118
9,4,0.99748355
9,5,0.00037065908
9,6,0.00034453406
10,0,4.7981997e-05
10,1,4.9873808e-05
10,2,4.8680715e-05
10,3,5.8689962e-05
10,4,0.99971324
10,5,4.2231037e-05
10,6,3.9254483e-05
11,0,3.132237e-05
11,1,3.2557335e-05
11,2,3.177849e-05
11,3,0.9998171
11,4,3.4167337e-05
11,5,2.756818e-05
11,6,2.56251e-05
12,0,0.0001004959
12,1,0.0001044582
12,2,0.000101959326
12,3,0.4053046
12,4,0.00010962379
12,5,0.5941967
12,6,8.221655e-05
13,0,5.643978e-05
13,1,5.8665064e-05
13,2,5.7261663e-05
13,3,6.903524e-05
13,4,0.098735094
13,5,4.96751e-05
13,6,0.9009738
14,0,8.980629e-05
14,1,9.334714e-05
14,2,9.111407e-05
14,3,0.000109848035
14,4,0.9994634
14,5,7.904242e-05
14,6,7.34713e-05
15,0,0.00011920571
15,1,0.0001239057
15,2,0.0001209416
15,3,0.0001458084
15,4,0.00013003299
15,5,0.000104918116
15,6,0.99925524
16,0,0.99947304
16,1,9.0285794e-05
16,2,8.8125955e-05
16,3,0.000106245534
16,4,9.475053e-05
16,5,7.64502e-05
16,6,7.106179e-05
17,0,0.00021297223
17,1,0.00022136919
17,2,0.00021607356
17,3,0.99875563
17,4,0.00023231618
17,5,0.0001874461
17,6,0.0001742344
18,0,0.00011786005
18,1,0.00012250697
18,2,0.9992867
18,3,0.00014416243
18,4,0.0001285651
18,5,0.00010373374
18,6,9.6422315e-05
19,0,0.00052594085
19,1,0.9968302
19,2,0.0005335997
19,3,0.00064331316
19,4,0.0005737113
19,5,0.00046290338
19,6,0.00043027673
20,0,0.00013022982
20,1,0.99921507
20,2,0.00013212624
20,3,0.00015929271
20,4,0.0001420584
20,5,0.00011462091
20,6,0.000106542124
21,0,0.000489361
21,1,0.9970507
21,2,0.00049648713
21,3,0.0005985699
21,4,0.00053380895
21,5,0.00043070788
21,6,0.00040035046
22,0,0.00023167199
22,1,0.00024080624
22,2,0.00023504562
22,3,0.00028337337
22,4,0.0002527144
22,5,0.99856687
22,6,0.00018953283
23,0,0.0023083952
23,1,0.9860877
23,2,0.0023420104
23,3,0.0028235512
23,4,0.0025180634
23,5,0.0020317188
23,6,0.001888518
24,0,3.8803686e-05
24,1,4.033362e-05
24,2,3.9368748e-05
24,3,4.746336e-05
24,4,0.9997682
24,5,3.4152807e-05
24,6,3.1745625e-05
25,0,0.00029274455
25,1,0.27061263
25,2,0.00029700753
25,3,0.00035807525
25,4,0.72794247
25,5,0.00025765717
25,6,0.00023949682
26,0,9.592878e-05
26,1,9.971102e-05
26,2,9.7325705e-05
26,3,0.35328647
26,4,0.6462577
26,5,8.4431085e-05
26,6,7.848016e-05
27,0,9.296461e-05
27,1,9.662997e-05
27,2,9.431837e-05
27,3,0.000113711176
27,4,0.030148773
27,5,8.182218e-05
27,6,0.9693718
28,0,9.815741e-05
28,1,0.585255
28,2,9.958679e-05
28,3,0.00012006284
28,4,0.41426045
28,5,8.6392596e-05
28,6,8.030342e-05
29,0,8.579723e-05
29,1,8.918001e-05
29,2,8.7046625e-05
29,3,0.28894958
29,4,0.71064264
29,5,7.551387e-05
29,6,7.0191454e-05
30,0,0.000161038
30,1,0.00016738732
30,2,0.00016338304
30,3,0.999059
30,4,0.00017566483
30,5,0.00014173653
30,6,0.00013174656
31,0,3.8736e-05
31,1,4.0263265e-05
31,2,3.9300077e-05
31,3,4.738057e-05
31,4,4.2254334e-05
31,5,3.4093235e-05
31,6,0.999758
32,0,0.00021086328
32,1,0.00021917709
32,2,0.00021393389
32,3,0.998768
32,4,0.00023001568
32,5,0.00018558992
32,6,0.00017250906
33,0,4.188365e-05
33,1,4.353502e-05
33,2,4.2493564e-05
33,3,5.123067e-05
33,4,0.9997497
33,5,3.6863617e-05
33,6,3.4265373e-05
34,0,0.00046766762
34,1,0.00048610658
34,2,0.99716985
34,3,0.00057203526
34,4,0.00051014515
34,5,0.00041161454
34,6,0.00038260288
35,0,6.853138e-05
35,1,7.12334e-05
35,2,0.25740618
35,3,8.3825274e-05
35,4,7.475598e-05
35,5,6.031744e-05
35,6,0.7422352
36,0,0.9980028
36,1,0.0003422029
36,2,0.00033401663
36,3,0.0004026938
36,4,0.00035912526
36,5,0.00028976297
36,6,0.0002693397
37,0,0.00012484817
37,1,0.00012977063
37,2,0.00012666623
37,3,0.00015271008
37,4,0.999254
37,5,0.0001098843
37,6,0.00010213936
38,0,7.964372e-05
38,1,8.278388e-05
38,2,8.0803504e-05
38,3,9.741752e-05
38,4,0.99952406
38,5,7.00979e-05
38,6,6.515721e-05
39,0,0.8398892
39,1,7.46278e-05
39,2,7.2842544e-05
39,3,8.78197e-05
39,4,0.15975353
39,5,6.319168e-05
39,6,5.873776e-05
40,0,0.00025707865
40,1,0.00026721464
40,2,0.00026082224
40,3,0.36052376
40,4,0.0002804287
40,5,0.6382004
40,6,0.00021031825
41,0,0.99931186
41,1,0.000117906326
41,2,0.00011508574
41,3,0.00013874854
41,4,0.00012373694
41,5,9.98381e-05
41,6,9.280125e-05
42,0,8.756763e-05
42,1,9.10202e-05
42,2,8.884279e-05
42,3,0.99948835
42,4,9.552126e-05
42,5,7.7072065e-05
42,6,7.163982e-05
43,0,0.0003570131
43,1,0.00037108926
43,2,0.00036221198
43,3,0.00043668642
43,4,0.0003894401
43,5,0.00031422274
43,6,0.99776936
44,0,0.00042107003
44,1,0.00043767178
44,2,0.0004272017
44,3,0.99753964
44,4,0.0004593152
44,5,0.000370602
44,6,0.000344481
45,0,0.0002602181
45,1,0.00027047787
45,2,0.00026400745
45,3,0.9984796
45,4,0.00028385333
45,5,0.00022902925
45,6,0.00021288666
46,0,0.00014349597
46,1,0.00014915365
46,2,0.00014558557
46,3,0.00017551942
46,4,0.0001565295
46,5,0.99911225
46,6,0.00011739528
47,0,0.00033442344
47,1,0.00034760893
47,2,0.00033929336
47,3,0.0004090555
47,4,0.5664509
47,5,0.4318452
47,6,0.0002735947
48,0,0.00041282832
48,1,0.0004291051
48,2,0.99750173
48,3,0.0005049577
48,4,0.00045032488
48,5,0.0003633481
48,6,0.00033773837
49,0,0.00030985096
49,1,0.00032206762
49,2,0.9981249
49,3,0.00037899925
49,4,0.00033799428
49,5,0.00027271328
49,6,0.00025349174
50,0,0.00024510577
50,1,0.00025476966
50,2,0.99851674
50,3,0.0002998051
50,4,0.00026736836
50,5,0.00021572821
50,6,0.00020052312
51,0,0.9993663
51,1,0.000108583314
51,2,0.00010598576
51,3,0.0001277775
51,4,0.00011395289
51,5,9.1943766e-05
51,6,8.546333e-05
52,0,0.00034531273
52,1,0.00035892756
52,2,0.00035034123
52,3,0.0004223749
52,4,0.00037667697
52,5,0.9978639
52,6,0.00028250332
53,0,9.723622e-05
53,1,0.00010107
53,2,9.8652185e-05
53,3,0.00011893606
53,4,0.00010606804
53,5,0.99939847
53,6,7.954978e-05
54,0,5.1734634e-05
54,1,5.37744e-05
54,2,5.2488e-05
54,3,6.328006e-05
54,4,5.6433615e-05
54,5,0.99968
54,6,4.2324547e-05
55,0,0.00021735243
55,1,0.99869007
55,2,0.00022051754
55,3,0.00026585817
55,4,0.00023709422
55,5,0.0001913013
55,6,0.00017781788
56,0,0.00010549546
56,1,0.00010965489
56,2,0.9993615
56,3,0.0001290385
56,4,0.000115077455
56,5,9.285113e-05
56,6,8.630674e-05
57,0,0.0002772706
57,1,0.0002882027
57,2,0.99832207
57,3,0.00033914804
57,4,0.00030245466
57,5,0.00024403787
57,6,0.00022683745
58,0,0.0005009701
58,1,0.0005207221
58,2,0.9969683
58,3,0.0006127698
58,4,0.0005464725
58,5,0.00044092556
58,6,0.00040984797
59,0,0.00014649596
59,1,0.00015227194
59,2,0.00014862926
59,3,0.00017918892
59,4,0.00015980197
59,5,0.9990937
59,6,0.00011984961
60,0,0.37831888
60,1,0.0001218752
60,2,0.00011895967
60,3,0.00014341898
60,4,0.00012790208
60,5,0.00010319878
60,6,0.62106586
61,0,1.7236613e-05
61,1,1.791621e-05
61,2,1.7487615e-05
61,3,2.1083244e-05
61,4,1.880219e-05
61,5,1.5170691e-05
61,6,0.99989223
62,0,0.00044788822
62,1,0.00046554732
62,2,0.0004544104
62,3,0.99738294
62,4,0.0004885692
62,5,0.00039420582
62,6,0.00036642118
63,0,6.966237e-05
63,1,7.2408984e-05
63,2,7.06768e-05
63,3,0.99959284
63,4,7.5989694e-05
63,5,6.131287e-05
63,6,5.699138e-05
64,0,0.0007003807
64,1,0.995779
64,2,0.00071057974
64,3,0.0008566821
64,4,0.0007639952
64,5,0.0006164354
64,6,0.0005729874
65,0,8.309345e-05
65,1,8.6369626e-05
65,2,8.430347e-05
65,3,0.00010163711
65,4,9.064071e-05
65,5,7.313415e-05
65,6,0.99948084
66,0,0.0009984025
66,1,0.0010377669
66,2,0.99395794
66,3,0.0012212122
66,4,0.0010890858
66,5,0.0008787373
66,6,0.00081680156
67,0,0.00058420596
67,1,0.0006072398
67,2,0.31112945
67,3,0.68604976
67,4,0.00063726853
67,5,0.000514185
67,6,0.0004779439
68,0,0.08492627
68,1,0.0005908496
68,2,0.0005767152
68,3,0.9123208
68,4,0.0006200679
68,5,0.00050030655
68,6,0.00046504362
69,0,0.99975467
69,1,4.2037387e-05
69,2,4.103176e-05
69,3,4.94683e-05
69,4,4.4116186e-05
69,5,3.5595483e-05
69,6,3.308662e-05
70,0,0.00087432674
70,1,0.0009087993
70,2,0.99470884
70,3,0.001069447
70,4,0.0009537405
70,5,0.00076953287
70,6,0.0007152942
71,0,0.5059544
71,1,0.00036493715
71,2,0.25430524
71,3,0.23839629
71,4,0.00038298374
71,5,0.00030901338
71,6,0.0002872333
72,0,0.0005393624
72,1,0.0005606281
72,2,0.996736
72,3,0.0006597299
72,4,0.00058835186
72,5,0.00047471622
72,6,0.00044125697
73,0,9.5903764e-05
73,1,9.9685014e-05
73,2,0.99941957
73,3,0.000117306256
73,4,0.00010461456
73,5,8.440906e-05
73,6,7.845969e-05
74,0,0.00010002442
74,1,0.00010396814
74,2,0.00010148099
74,3,0.42959467
74,4,0.56992996
74,5,8.8035835e-05
74,6,8.183084e-05
75,0,0.6433905
75,1,8.7412736e-05
75,2,8.532163e-05
75,3,0.3562022
75,4,9.1735405e-05
75,5,7.401742e-05
75,6,6.880048e-05
76,0,0.00028099198
76,1,0.9983066
76,2,0.0002850838
76,3,0.0003436999
76,4,0.00030651406
76,5,0.00024731323
76,6,0.00022988195
77,0,0.9982954
77,1,0.00029207932
77,2,0.00028509213
77,3,0.00034370992
77,4,0.000306523
77,5,0.00024732042
77,6,0.00022988864
78,0,0.0007777149
78,1,0.0008083783
78,2,0.9952935
78,3,0.00095127465
78,4,0.0008483536
78,5,0.0006845006
78,6,0.0006362552
79,0,2.9912753e-05
79,1,3.109214e-05
79,2,3.0348345e-05
79,3,3.658827e-05
79,4,0.79502696
79,5,0.20482062
79,6,2.447188e-05
80,0,3.4665223e-05
80,1,3.6031986e-05
80,2,3.5170022e-05
80,3,4.240133e-05
80,4,0.99979293
80,5,3.0510366e-05
80,6,2.8359915e-05
81,0,0.9994258
81,1,9.8376244e-05
81,2,9.6022864e-05
81,3,0.00011576613
81,4,0.00010324107
81,5,8.330085e-05
81,6,7.742959e-05
82,0,0.00026347808
82,1,0.5623482
82,2,0.00026731487
82,3,0.43638617
82,4,0.0002874094
82,5,0.00023189849
82,6,0.00021555368
83,0,0.00024513245
83,1,0.00025479743
83,2,0.00024870213
83,3,0.7957263
83,4,0.20310886
