chunk_id,chunk_text,preprocess_agenda,tokens
0,"CAMINHOS PARA O BRASIL Documento político-programático 2025 Dados Internacionais de Catalogação na Publicação (CIP) (Câmara Brasileira do Livro, SP, Brasil) Caminhos para o Brasil – Nosso País, Nossa Causa / autores e coordenação Gustavo Grisa, Renata de Carvalho Rodrigues, José Aldo Rebelo Figueiredo, José Fogaça, Raul Henry, José Luíz Fuscaldo. Brasília, DF : Fundação Ulysses Guimarães, Sumário I - APRESENTAÇÃO - O BRASIL É AGORA, MUDANÇA COM CONVERGÊNCIA Mensagem Baleia Rossi, presidente do MDB Mensagem Alceu Moreira, presidente da FUG Mensagem Michel Temer, Presidente da República (2016-2018) Mensagem Eduardo Braga, líder do MDB no Senado Mensagem Isnaldo Bulhões, líder do MDB na Câmara Mensagem Aldo Rebelo, coordenador-geral “O Brasil Precisa Pensar o Brasil” Trajetória “O Brasil Precisa Pensar o Brasil” - uma construção coletiva de futuro II - CONTEÚDO PROGRAMÁTICO - CAMINHOS PARA O BRASIL A nossa causa - o Brasil é de todos Eixos estruturantes do conteúdo programático As causas mobilizadoras Consolidação da democracia Retomada do desenvolvimento Redução das desigualdades Mensagem de convergência - As escolhas de futuro diante da urgência do presente 8 12 14 16 18 20 22 24 28 28 32 38 41 53 89 123 I . AP RES ENTAÇÃO O Brasil é agora Este documento apresenta Para atravessar o momento caminhos para o Brasil a conturbado e polarizado e partir de uma construção das opções reducionistas, coletiva, fundamentada em um será necessário organizar amplo processo de consulta uma coerência de visões em e pesquisa realizado entre torno dos grandes assuntos janeiro e setembro de 2025, e que dominam e dominarão a que seguirá em curso ao longo agenda pública na atualidade, de 2026.",caminho brasil documento político programático 2025 dado internacional catalogação publicação cip câmara brasileiro livro sp brasil caminho brasil país causar autor coordenação gustavo grisa renata carvalho rodrigues josé aldo rebelo figueiredo josé fogaça raul henry josé luíz fuscaldo brasília df fundação ulysses guimarães sumário i apresentação brasil agora mudança convergência mensagem baleio rossi mdb mensagem alceu moreira fug mensagem michel temer república 2016 2018 mensagem eduardo braga líder mdb senar mensagem isnaldo bulhão líder mdb câmara mensagem aldo rebelo coordenador geral brasil precisar pensar brasil trajetória brasil precisar pensar brasil construção coletivo futuro ii conteúdo programático caminho brasil causa brasil todo eixo estruturante conteúdo programático causa mobilizadoro consolidação democracia retomar desenvolvimento redução desigualdade mensagem convergência escolha futuro diante urgência presente 8 12 14 16 18 20 22 24 28 28 32 38 41 53 89 123 i ap res entação brasil agora documento apresentar atravessar momento caminho brasil conturbar polarizar partir construção opção reducionisto coletivo fundamentar necessário organizar amplo processo consultar coerência visão pesquisa realizar torno grande assunto janeiro setembro 2025 dominar dominar seguir curso longo agenda público atualidade 2026,"[""caminho"", ""brasil"", ""documento"", ""político"", ""programático"", ""2025"", ""dado"", ""internacional"", ""catalogação"", ""publicação"", ""cip"", ""câmara"", ""brasileiro"", ""livro"", ""sp"", ""brasil"", ""caminho"", ""brasil"", ""país"", ""causar"", ""autor"", ""coordenação"", ""gustavo"", ""grisa"", ""renata"", ""carvalho"", ""rodrigues"", ""josé"", ""aldo"", ""rebelo"", ""figueiredo"", ""josé"", ""fogaça"", ""raul"", ""henry"", ""josé"", ""luíz"", ""fuscaldo"", ""brasília"", ""df"", ""fundação"", ""ulysses"", ""guimarães"", ""sumário"", ""i"", ""apresentação"", ""brasil"", ""agora"", ""mudança"", ""convergência"", ""mensagem"", ""baleio"", ""rossi"", ""mdb"", ""mensagem"", ""alceu"", ""moreira"", ""fug"", ""mensagem"", ""michel"", ""temer"", ""república"", ""2016"", ""2018"", ""mensagem"", ""eduardo"", ""braga"", ""líder"", ""mdb"", ""senar"", ""mensagem"", ""isnaldo"", ""bulhão"", ""líder"", ""mdb"", ""câmara"", ""mensagem"", ""aldo"", ""rebelo"", ""coordenador"", ""geral"", ""brasil"", ""precisar"", ""pensar"", ""brasil"", ""trajetória"", ""brasil"", ""precisar"", ""pensar"", ""brasil"", ""construção"", ""coletivo"", ""futuro"", ""ii"", ""conteúdo"", ""programático"", ""caminho"", ""brasil"", ""causa"", ""brasil"", ""todo"", ""eixo"", ""estruturante"", ""conteúdo"", ""programático"", ""causa"", ""mobilizadoro"", ""consolidação"", ""democracia"", ""retomar"", ""desenvolvimento"", ""redução"", ""desigualdade"", ""mensagem"", ""convergência"", ""escolha"", ""futuro"", ""diante"", ""urgência"", ""presente"", ""8"", ""12"", ""14"", ""16"", ""18"", ""20"", ""22"", ""24"", ""28"", ""28"", ""32"", ""38"", ""41"", ""53"", ""89"", ""123"", ""i"", ""ap"", ""res"", ""entação"", ""brasil"", ""agora"", ""documento"", ""apresentar"", ""atravessar"", ""momento"", ""caminho"", ""brasil"", ""conturbar"", ""polarizar"", ""partir"", ""construção"", ""opção"", ""reducionisto"", ""coletivo"", ""fundamentar"", ""necessário"", ""organizar"", ""amplo"", ""processo"", ""consultar"", ""coerência"", ""visão"", ""pesquisa"", ""realizar"", ""torno"", ""grande"", ""assunto"", ""janeiro"", ""setembro"", ""2025"", ""dominar"", ""dominar"", ""seguir"", ""curso"", ""longo"", ""agenda"", ""público"", ""atualidade"", ""2026""]"
1,e que se projetarão pela década seguinte.,projetar década seguinte,"[""projetar"", ""década"", ""seguinte""]"
2,"Parte desta Nesta síntese, estão expressas perspectiva e transição para linhas de posicionamento que um novo momento nacional representam o sentimento de passa por um posicionamento lideranças políticas e gestores responsável para o Brasil, públicos de todos os Estados baseado em atualização de brasileiros, de especialistas agenda, consensos e soluções em temáticas de impacto convergentes.",parte de este em este síntese expressas perspectiva transição linha posicionamento novo momento nacional representar sentimento passar posicionamento liderança político gestor responsável brasil público todo estado basear atualização brasileiro especialista agenda consenso solução temático impacto convergente,"[""parte"", ""de este"", ""em este"", ""síntese"", ""expressas"", ""perspectiva"", ""transição"", ""linha"", ""posicionamento"", ""novo"", ""momento"", ""nacional"", ""representar"", ""sentimento"", ""passar"", ""posicionamento"", ""liderança"", ""político"", ""gestor"", ""responsável"", ""brasil"", ""público"", ""todo"", ""estado"", ""basear"", ""atualização"", ""brasileiro"", ""especialista"", ""agenda"", ""consenso"", ""solução"", ""temático"", ""impacto"", ""convergente""]"
3,"público, da militância e da base do MDB.",público militância base mdb,"[""público"", ""militância"", ""base"", ""mdb""]"
4,"Uma síntese que traduz a combinação entre a urgência da ação e a serenidade para articular, ao entender que, para a construção política democrática, os fundamentos são o diálogo, a busca pelo entendimento e o profundo respeito à institucionalidade do Brasil democrático. O que nos une é a necessidade de mudança com convergência UM CENTRO DEMOCRÁTICO AGREGADOR, PROATIVO E PRODUTIVO A escolha de se colocar no extrema esquerda, desviando centro democrático carrega o foco da resolução de uma responsabilidade problemas reais de melhoria intrínseca: escutar, dialogar da qualidade de vida da e enxergar, de fato, o que população brasileira.",síntese traduzir combinação urgência ação serenidade articular entender construção político democrático fundamento diálogo buscar entendimento profundo respeito institucionalidade brasil democrático uneir necessidade mudança convergência centro democrático agregador proativo produtivo escolha colocar extremo esquerda desviar centro democrático carregar foco resolução responsabilidade problema real melhoria intrínseca escutar dialogar qualidade vido enxergar fato população brasileiro,"[""síntese"", ""traduzir"", ""combinação"", ""urgência"", ""ação"", ""serenidade"", ""articular"", ""entender"", ""construção"", ""político"", ""democrático"", ""fundamento"", ""diálogo"", ""buscar"", ""entendimento"", ""profundo"", ""respeito"", ""institucionalidade"", ""brasil"", ""democrático"", ""uneir"", ""necessidade"", ""mudança"", ""convergência"", ""centro"", ""democrático"", ""agregador"", ""proativo"", ""produtivo"", ""escolha"", ""colocar"", ""extremo"", ""esquerda"", ""desviar"", ""centro"", ""democrático"", ""carregar"", ""foco"", ""resolução"", ""responsabilidade"", ""problema"", ""real"", ""melhoria"", ""intrínseca"", ""escutar"", ""dialogar"", ""qualidade"", ""vido"", ""enxergar"", ""fato"", ""população"", ""brasileiro""]"
5,acontece ao seu redor.,acontecer redor,"[""acontecer"", ""redor""]"
6,"E essa posição de enxergar mais do Para enfrentar os desafios e que as partes em separado as oportunidades emergentes, contribui para tomar decisões promovendo um ambiente com maior legitimidade e favorável ao crescimento abrangência. econômico e à inclusão social, o MDB prioriza O compromisso com a uma governança estável e moderação, o pragmatismo, consistente ao defender a busca pelo consenso e políticas que priorizam a o equilíbrio atua como um continuidade a longo prazo, contrapeso ao desgaste com novas abordagens gerado pela intensificação de que aumentem a sua posicionamentos políticos escalabilidade, contemplando radicais, que emanam tanto o tamanho e a diversidade da extrema direita quanto da regional do Brasil. Esses pontos são convergentes brasileiros que se encontram com documentos anteriores desencantados com uma formulados pelo partido, disputa política polarizada e destacadamente, “Esperança e alheia aos grandes problemas Mudança” (1982), “Democracia que impactam diariamente na com Desenvolvimento” (1996), vida das pessoas. “Uma Ponte para o Futuro” (2015) e “Todos por Um Só Ao trazer o Brasil como Brasil” (2021). nossa principal causa, acima de ideologia ou costumes, Os documentos programáticos reafirmamos nossa conexão atenderam a momentos com a vontade de mudança da história que inspiravam efetiva e de um propósito ora a defesa e reintrodução compartilhado, uma distensão da sociedade brasileira do ambiente político a partir aos valores e princípios de uma agenda que permita democráticos, ora a debater, construir e entregar defesa de medidas como soluções reais para um Brasil responsabilidade fiscal, real, melhorando de forma regulamentação prudente e concreta a vida de todos os investimentos estratégicos, brasileiros. reconhecendo a importância do esforço pela manutenção permanente da estabilidade do ambiente político e econômico. São 60 anos do MDB e 40 anos da transição democrática, uma conquista árdua e de resistência da sociedade brasileira. O que estamos trazendo neste documento é mais um ato de responsabilidade do MDB para com o Brasil, em que se busca uma reconexão não apenas com a sociedade brasileira representada, mas também - e, principalmente - com as dezenas de milhões de Nossa alma e nossos caminhos BALEIA ROSSI PRESIDENTE NACIONAL DO MDB Há exatos 60 anos, vivenciávamos o recrudescimento da ditadura militar com a extinção dos partidos políticos após as eleições estaduais de outubro de 1965.",posição enxergar enfrentar desafio parte separar oportunidade emergente contribuir tomar decisão promover ambiente grande legitimidade favorável crescimento abrangência econômico inclusão social mdb priorizar compromisso governança estável moderação pragmatismo consistente defender busca consenso político priorizar equilíbrio atuar continuidade longo prazo contrapeso desgaste novo abordagem gerar intensificação aumentar posicionamento político escalabilidade contemplar radical emanar tanto tamanho diversidade extremo direita quanto regional brasil ponto convergente brasileiro encontrar documento anterior desencantado formular partido disputar político polarizar destacadamente esperança alheio grande problema mudança 1982 democracia impactar diariamente desenvolvimento 1996 vida pessoa ponte futuro 2015 todo trazer brasil brasil 2021 principal causa acima ideologia costume documento programático reafirmar conexão atender momento vontade mudança história inspirar efetivo propósito ora defesa reintrodução compartilhar distensão sociedade brasileiro ambiente político partir valor princípio agenda permitir democrático ora debater construir entregar defesa medida solução real brasil responsabilidade fiscal real melhorar forma regulamentação prudente concreto vida todo investimento estratégico brasileiro reconhecer importância esforço manutenção permanente estabilidade ambiente político econômico 60 ano mdb 40 ano transição democrático conquista árduo resistência sociedade brasileiro trazer em este documento ato responsabilidade mdb brasil buscar reconexão apenas sociedade brasileiro representar principalmente dezena milhão alma caminho baleio rossi nacional mdb exato 60 ano vivenciávamos recrudescimento ditadura militar extinção partido político após eleição estadual outubro 1965,"[""posição"", ""enxergar"", ""enfrentar"", ""desafio"", ""parte"", ""separar"", ""oportunidade"", ""emergente"", ""contribuir"", ""tomar"", ""decisão"", ""promover"", ""ambiente"", ""grande"", ""legitimidade"", ""favorável"", ""crescimento"", ""abrangência"", ""econômico"", ""inclusão"", ""social"", ""mdb"", ""priorizar"", ""compromisso"", ""governança"", ""estável"", ""moderação"", ""pragmatismo"", ""consistente"", ""defender"", ""busca"", ""consenso"", ""político"", ""priorizar"", ""equilíbrio"", ""atuar"", ""continuidade"", ""longo"", ""prazo"", ""contrapeso"", ""desgaste"", ""novo"", ""abordagem"", ""gerar"", ""intensificação"", ""aumentar"", ""posicionamento"", ""político"", ""escalabilidade"", ""contemplar"", ""radical"", ""emanar"", ""tanto"", ""tamanho"", ""diversidade"", ""extremo"", ""direita"", ""quanto"", ""regional"", ""brasil"", ""ponto"", ""convergente"", ""brasileiro"", ""encontrar"", ""documento"", ""anterior"", ""desencantado"", ""formular"", ""partido"", ""disputar"", ""político"", ""polarizar"", ""destacadamente"", ""esperança"", ""alheio"", ""grande"", ""problema"", ""mudança"", ""1982"", ""democracia"", ""impactar"", ""diariamente"", ""desenvolvimento"", ""1996"", ""vida"", ""pessoa"", ""ponte"", ""futuro"", ""2015"", ""todo"", ""trazer"", ""brasil"", ""brasil"", ""2021"", ""principal"", ""causa"", ""acima"", ""ideologia"", ""costume"", ""documento"", ""programático"", ""reafirmar"", ""conexão"", ""atender"", ""momento"", ""vontade"", ""mudança"", ""história"", ""inspirar"", ""efetivo"", ""propósito"", ""ora"", ""defesa"", ""reintrodução"", ""compartilhar"", ""distensão"", ""sociedade"", ""brasileiro"", ""ambiente"", ""político"", ""partir"", ""valor"", ""princípio"", ""agenda"", ""permitir"", ""democrático"", ""ora"", ""debater"", ""construir"", ""entregar"", ""defesa"", ""medida"", ""solução"", ""real"", ""brasil"", ""responsabilidade"", ""fiscal"", ""real"", ""melhorar"", ""forma"", ""regulamentação"", ""prudente"", ""concreto"", ""vida"", ""todo"", ""investimento"", ""estratégico"", ""brasileiro"", ""reconhecer"", ""importância"", ""esforço"", ""manutenção"", ""permanente"", ""estabilidade"", ""ambiente"", ""político"", ""econômico"", ""60"", ""ano"", ""mdb"", ""40"", ""ano"", ""transição"", ""democrático"", ""conquista"", ""árduo"", ""resistência"", ""sociedade"", ""brasileiro"", ""trazer"", ""em este"", ""documento"", ""ato"", ""responsabilidade"", ""mdb"", ""brasil"", ""buscar"", ""reconexão"", ""apenas"", ""sociedade"", ""brasileiro"", ""representar"", ""principalmente"", ""dezena"", ""milhão"", ""alma"", ""caminho"", ""baleio"", ""rossi"", ""nacional"", ""mdb"", ""exato"", ""60"", ""ano"", ""vivenciávamos"", ""recrudescimento"", ""ditadura"", ""militar"", ""extinção"", ""partido"", ""político"", ""após"", ""eleição"", ""estadual"", ""outubro"", ""1965""]"
7,"Quase que de imediato, nasceu a ideia de se criar um novo partido de oposição. Quem era contra o regime de exceção se juntou para formar o Movimento Democrático Brasileiro.",quase imediato nascer ideia criar novo partido oposição contra regime exceção juntar formar movimento democrático brasileiro,"[""quase"", ""imediato"", ""nascer"", ""ideia"", ""criar"", ""novo"", ""partido"", ""oposição"", ""contra"", ""regime"", ""exceção"", ""juntar"", ""formar"", ""movimento"", ""democrático"", ""brasileiro""]"
8,O projeto da sigla era um só: a retomada das liberdades.,projeto sigla retomar liberdade,"[""projeto"", ""sigla"", ""retomar"", ""liberdade""]"
9,Não foi fácil.,fácil,"[""fácil""]"
10,"Em 1970, descrente de suas forças, o partido quase se autodissolveu.",1970 descrente força partido quase autodissolver,"[""1970"", ""descrente"", ""força"", ""partido"", ""quase"", ""autodissolver""]"
11,A retomada da confiança se deu a partir da chegada de Ulysses Guimarães à Presidência Nacional do MDB.,retomar confiança dar partir chegada ulysses guimarães presidência nacional mdb,"[""retomar"", ""confiança"", ""dar"", ""partir"", ""chegada"", ""ulysses"", ""guimarães"", ""presidência"", ""nacional"", ""mdb""]"
12,"Foram 14 anos de luta até a vitória do presidente Tancredo Neves no Colégio Eleitoral em 1985, que ganhou a eleição orientado pelo programa Fundação Ulysses Guimarães, “Esperança e Mudança”, de apresentou o “Ponte para 1982, quando da refundação o Futuro”, um programa de da sigla como PMDB, e retomada da credibilidade pelo ideário definido pelo da economia brasileira. Em texto “Compromisso com a apenas dois anos de governo Nação”, produzido a partir Michel Temer, o objetivo da construção da Aliança principal foi conquistado: Democrática, fundamental queda da inflação e retomada para a composição da chapa do crescimento.",14 ano lutar vitória tancredo neves colégio eleitoral 1985 ganhar eleição orientar programa fundação ulysses guimarães esperança mudança apresentar ponte 1982 refundação futuro programa sigla pmdb retomar credibilidade ideário definir economia brasileiro texto compromisso apenas dois ano governo nação produzir partir michel temer objetivo construção aliança principal conquistar democrático fundamental queda inflação retomar composição chapa crescimento,"[""14"", ""ano"", ""lutar"", ""vitória"", ""tancredo"", ""neves"", ""colégio"", ""eleitoral"", ""1985"", ""ganhar"", ""eleição"", ""orientar"", ""programa"", ""fundação"", ""ulysses"", ""guimarães"", ""esperança"", ""mudança"", ""apresentar"", ""ponte"", ""1982"", ""refundação"", ""futuro"", ""programa"", ""sigla"", ""pmdb"", ""retomar"", ""credibilidade"", ""ideário"", ""definir"", ""economia"", ""brasileiro"", ""texto"", ""compromisso"", ""apenas"", ""dois"", ""ano"", ""governo"", ""nação"", ""produzir"", ""partir"", ""michel"", ""temer"", ""objetivo"", ""construção"", ""aliança"", ""principal"", ""conquistar"", ""democrático"", ""fundamental"", ""queda"", ""inflação"", ""retomar"", ""composição"", ""chapa"", ""crescimento""]"
13,"Infelizmente, com José Sarney e a Frente o Brasil – como outras nações Liberal.",infelizmente josé sarney frente brasil outro nação liberal,"[""infelizmente"", ""josé"", ""sarney"", ""frente"", ""brasil"", ""outro"", ""nação"", ""liberal""]"
14,"Com a morte de - foi dragado pela polarização Tancredo antes da posse, política impulsionada pelas coube a Sarney conduzir novas formas de comunicação.",morte dragar polarização tancredo antes posse político impulsionar caber sarney conduzir novo forma comunicação,"[""morte"", ""dragar"", ""polarização"", ""tancredo"", ""antes"", ""posse"", ""político"", ""impulsionar"", ""caber"", ""sarney"", ""conduzir"", ""novo"", ""forma"", ""comunicação""]"
15,"a transição democrática de forma exemplar, tendo Em 2021, a FUG redobrou como principal resultado a a aposta na moderação e Constituição de 1988.",transição democrático forma exemplar ter 2021 fug redobrar principal resultado apostar moderação constituição 1988,"[""transição"", ""democrático"", ""forma"", ""exemplar"", ""ter"", ""2021"", ""fug"", ""redobrar"", ""principal"", ""resultado"", ""apostar"", ""moderação"", ""constituição"", ""1988""]"
16,"no equilíbrio com o projeto “Todos por Um Só Brasil”. Desde então, o Brasil vive Quatro anos depois, a seu período mais longevo FUG apresenta ao País um sob o regime democrático.",equilíbrio projeto todo brasil desde então brasil viver quatro ano período longevo fug apresentar país sob regime democrático,"[""equilíbrio"", ""projeto"", ""todo"", ""brasil"", ""desde"", ""então"", ""brasil"", ""viver"", ""quatro"", ""ano"", ""período"", ""longevo"", ""fug"", ""apresentar"", ""país"", ""sob"", ""regime"", ""democrático""]"
17,"projeto inédito marcado É algo que precisamos celebrar sempre, mas sem pela pluralidade e ampla jamais perder de vista que há participação de todo o MDB, muito a ser feito.",projeto inédito marcar algo precisar celebrar sempre pluralidade amplo jamais perder ver participação todo mdb fazer,"[""projeto"", ""inédito"", ""marcar"", ""algo"", ""precisar"", ""celebrar"", ""sempre"", ""pluralidade"", ""amplo"", ""jamais"", ""perder"", ""ver"", ""participação"", ""todo"", ""mdb"", ""fazer""]"
18,"Problemas por meio de dezenas de antigos, como a falta de um eventos virtuais e presença desenvolvimento econômico pelos cinco cantos do Brasil.",problema meio dezena antigo falta evento virtual presença desenvolvimento econômico cinco canto brasil,"[""problema"", ""meio"", ""dezena"", ""antigo"", ""falta"", ""evento"", ""virtual"", ""presença"", ""desenvolvimento"", ""econômico"", ""cinco"", ""canto"", ""brasil""]"
19,"mais substantivo que diminua Com vistas ao pleito de a vergonhosa desigualdade, 2026, o MDB é o primeiro ainda estão longe de solução. partido a ter uma proposta Por isso, não podemos deixar clara para o enfrentamento de reconhecer a existência dos atuais desafios, sempre de um certo desgaste com o espírito que nos das instituições perante a moldou 60 anos atrás: a luta população. Essa crise de confiança ficou evidente em por liberdade e a defesa 2013, e uma década depois inegociável da Democracia. ainda não foi superada.",substantivo diminua visto pleito vergonhoso desigualdade 2026 mdb primeiro ainda longe solução partido ter proposta poder deixar clara enfrentamento reconhecer existência atual desafio sempre certo desgaste espírito instituição perante moldar 60 ano atrás luta população crise confiança ficar evidente liberdade defesa 2013 década inegociável democracia ainda superar,"[""substantivo"", ""diminua"", ""visto"", ""pleito"", ""vergonhoso"", ""desigualdade"", ""2026"", ""mdb"", ""primeiro"", ""ainda"", ""longe"", ""solução"", ""partido"", ""ter"", ""proposta"", ""poder"", ""deixar"", ""clara"", ""enfrentamento"", ""reconhecer"", ""existência"", ""atual"", ""desafio"", ""sempre"", ""certo"", ""desgaste"", ""espírito"", ""instituição"", ""perante"", ""moldar"", ""60"", ""ano"", ""atrás"", ""luta"", ""população"", ""crise"", ""confiança"", ""ficar"", ""evidente"", ""liberdade"", ""defesa"", ""2013"", ""década"", ""inegociável"", ""democracia"", ""ainda"", ""superar""]"
20,É por essa estrada que vão nossos caminhos.,estrada ir caminho,"[""estrada"", ""ir"", ""caminho""]"
21,O MDB jamais deixou de agir.,mdb jamais deixar agir,"[""mdb"", ""jamais"", ""deixar"", ""agir""]"
22,"Em 2015, por intermédio da Mais uma vez, a FUG e o MDB escutaram o Brasil ALCEU MOREIRA PRESIDENTE DA FUNDAÇÃO ULYSSES GUIMARÃES Durante este ano de 2025, a Fundação Ulysses Guimarães percorreu o Brasil conversando com companheiros de partido e especialistas nos mais variados assuntos de interesse público, interagindo com o ambiente político e com os temas mais urgentes de cada Estado brasileiro.",2015 intermédio vez fug mdb escutar brasil alceu moreira fundação ulysses guimarães durante ano 2025 fundação ulysses guimarães percorrer brasil conversar companheiro partido especialista variado assunto interesse público interagir ambiente político tema urgente cada estado brasileiro,"[""2015"", ""intermédio"", ""vez"", ""fug"", ""mdb"", ""escutar"", ""brasil"", ""alceu"", ""moreira"", ""fundação"", ""ulysses"", ""guimarães"", ""durante"", ""ano"", ""2025"", ""fundação"", ""ulysses"", ""guimarães"", ""percorrer"", ""brasil"", ""conversar"", ""companheiro"", ""partido"", ""especialista"", ""variado"", ""assunto"", ""interesse"", ""público"", ""interagir"", ""ambiente"", ""político"", ""tema"", ""urgente"", ""cada"", ""estado"", ""brasileiro""]"
23,"Um processo que envolveu mais de 8.500 pessoas, com 25 eventos estaduais e mais de 20 reuniões online com pessoas que são referências em suas áreas, transmitidas e abertas ao público.",processo envolver 8 500 pessoa 25 evento estadual 20 reunião online pessoa referência área transmitir aberto público,"[""processo"", ""envolver"", ""8"", ""500"", ""pessoa"", ""25"", ""evento"", ""estadual"", ""20"", ""reunião"", ""online"", ""pessoa"", ""referência"", ""área"", ""transmitir"", ""aberto"", ""público""]"
24,"Podemos dizer que a FUG e o MDB escutaram o Brasil neste ano, e essa escuta está refletida em nosso documento político-programático, que se propõe a ser uma documento as causas que síntese que trata dos pontos são mais impactantes mais sensíveis à vida dos nesse caminho.",poder dizer fug mdb escutar brasil em este ano escutar refletir documento político programático propor documento causa síntese tratar ponto impactante sensível vida em esse caminho,"[""poder"", ""dizer"", ""fug"", ""mdb"", ""escutar"", ""brasil"", ""em este"", ""ano"", ""escutar"", ""refletir"", ""documento"", ""político"", ""programático"", ""propor"", ""documento"", ""causa"", ""síntese"", ""tratar"", ""ponto"", ""impactante"", ""sensível"", ""vida"", ""em esse"", ""caminho""]"
25,A marca brasileiros.,marca brasileiro,"[""marca"", ""brasileiro""]"
