chunk_id,chunk_text,preprocess_agenda,tokens
0,"em virtude de sexo ou de raça no acesso às instâncias de representação política e no princípio, com a devida autonomia e os limites de cada poder, busca conter a exercício de funções públicas.",em virtude de sexo ou de raca no acesso as instancias de representacao politica e no principio com a devida autonomia e os limites de cada poder busca conter a exercicio de funcoes publicas,"[""em"", ""virtude"", ""de"", ""sexo"", ""ou"", ""de"", ""raca"", ""no"", ""acesso"", ""as"", ""instancias"", ""de"", ""representacao"", ""politica"", ""e"", ""no"", ""principio"", ""com"", ""a"", ""devida"", ""autonomia"", ""e"", ""os"", ""limites"", ""de"", ""cada"", ""poder"", ""busca"", ""conter"", ""a"", ""exercicio"", ""de"", ""funcoes"", ""publicas""]"
1,"concentração de poderes e estabelecer um controle mútuo, norteados pela moderação Art.",concentracao de poderes e estabelecer um controle mutuo norteados pela moderacao art,"[""concentracao"", ""de"", ""poderes"", ""e"", ""estabelecer"", ""um"", ""controle"", ""mutuo"", ""norteados"", ""pela"", ""moderacao"", ""art""]"
2,57.,57,"[""57""]"
3,"Este Estatuto entrará em vigor, em todo o território nacional, a partir e pelo compromisso. de sua aprovação em Convenção Nacional.",este estatuto entrara em vigor em todo o territorio nacional a partir e pelo compromisso de sua aprovacao em convencao nacional,"[""este"", ""estatuto"", ""entrara"", ""em"", ""vigor"", ""em"", ""todo"", ""o"", ""territorio"", ""nacional"", ""a"", ""partir"", ""e"", ""pelo"", ""compromisso"", ""de"", ""sua"", ""aprovacao"", ""em"", ""convencao"", ""nacional""]"
4,"Baseado em freios e contrapesos, este sistema estabelece a autonomia das funções distintas, harmônicas e independentes, bem como determina que um poder VALDEMAR COSTA NETO está apto a frear os demais, em caso de abuso ou desequilíbrio.",baseado em freios e contrapesos este sistema estabelece a autonomia das funcoes distintas harmonicas e independentes bem como determina que um poder valdemar costa neto esta apto a frear os demais em caso de abuso ou desequilibrio,"[""baseado"", ""em"", ""freios"", ""e"", ""contrapesos"", ""este"", ""sistema"", ""estabelece"", ""a"", ""autonomia"", ""das"", ""funcoes"", ""distintas"", ""harmonicas"", ""e"", ""independentes"", ""bem"", ""como"", ""determina"", ""que"", ""um"", ""poder"", ""valdemar"", ""costa"", ""neto"", ""esta"", ""apto"", ""a"", ""frear"", ""os"", ""demais"", ""em"", ""caso"", ""de"", ""abuso"", ""ou"", ""desequilibrio""]"
5,"Presidente Nacional - Partido Liberal Desenvolvimento Econômico e Social - O Partido Liberal (PL) defende uma economia liberal que investe em políticas de combate à pobreza, com a priorização aos ANA DANIELA LEITE E AGUIAR mais vulneráveis e a redução da desigualdade por meio de projetos sociais e, OAB/DF 11.653 principalmente, a geração de emprego e renda. (Estatuto aprovado na Convenção Nacional de 19 dezembro de 2022) Acredita em um modelo de gestão alicerçada na geração de oportunidades que produzem riquezas, estimulam o empreendedorismo, facilitam a abertura de novas A LIBERDADE É O ALICERCE DA DEMOCRACIA, NÃO EXISTE DEMOCRACIA SEM LIBERDADE empresas, reduzem a burocracia, incentivam a capacitação profissional, a autonomia e a independência financeira. A essência do Partido Liberal está no fortalecimento do Estado Democrático Essas iniciativas permitem que a qualidade de vida das pessoas melhore, de Direito, assegurando a cada cidadão brasileiro a liberdade de pensamento e a expandindo a produção e o consumo. Esse ciclo da prosperidade impulsiona o liberdade de expressão. aquecimento da economia, o aumento da arrecadação e, consequentemente, permitirá Para o partido Liberal, os direitos de ir e vir, de ser, pensar, agir e falar são que o Estado invista mais recursos em ações de saúde, educação, segurança, invioláveis. infraestrutura e projetos sociais. Fundado no ano de 1985 pelo Professor, Deputado e Embaixador Álvaro Intervenção do Estado na Economia - O Partido Liberal entende que é Vale, o Partido Liberal tem o liberalismo social como instrumento permanente de luta essencial retirar o peso do Estado dos ombros da população. Permitir que o cidadão pelo bem comum. Não se pode olvidar que, apesar do imutável transcurso cronológico, possa desenvolver sua capacidade empreendedora, sua criatividade e liberdade com a sistêmica evolução da sociedade, o mundo foi atingido por constantes gerencial para a produção e comercialização de todos e quaisquer bens e serviços modificações.",presidente nacional partido liberal desenvolvimento economico e social o partido liberal pl defende uma economia liberal que investe em politicas de combate a pobreza com a priorizacao aos ana daniela leite e aguiar mais vulneraveis e a reducao da desigualdade por meio de projetos sociais e oab df 11 653 principalmente a geracao de emprego e renda estatuto aprovado na convencao nacional de 19 dezembro de 2022 acredita em um modelo de gestao alicercada na geracao de oportunidades que produzem riquezas estimulam o empreendedorismo facilitam a abertura de novas a liberdade e o alicerce da democracia nao existe democracia sem liberdade empresas reduzem a burocracia incentivam a capacitacao profissional a autonomia e a independencia financeira a essencia do partido liberal esta no fortalecimento do estado democratico essas iniciativas permitem que a qualidade de vida das pessoas melhore de direito assegurando a cada cidadao brasileiro a liberdade de pensamento e a expandindo a producao e o consumo esse ciclo da prosperidade impulsiona o liberdade de expressao aquecimento da economia o aumento da arrecadacao e consequentemente permitira para o partido liberal os direitos de ir e vir de ser pensar agir e falar sao que o estado invista mais recursos em acoes de saude educacao seguranca inviolaveis infraestrutura e projetos sociais fundado no ano de 1985 pelo professor deputado e embaixador alvaro intervencao do estado na economia o partido liberal entende que e vale o partido liberal tem o liberalismo social como instrumento permanente de luta essencial retirar o peso do estado dos ombros da populacao permitir que o cidadao pelo bem comum nao se pode olvidar que apesar do imutavel transcurso cronologico possa desenvolver sua capacidade empreendedora sua criatividade e liberdade com a sistemica evolucao da sociedade o mundo foi atingido por constantes gerencial para a producao e comercializacao de todos e quaisquer bens e servicos modificacoes,"[""presidente"", ""nacional"", ""partido"", ""liberal"", ""desenvolvimento"", ""economico"", ""e"", ""social"", ""o"", ""partido"", ""liberal"", ""pl"", ""defende"", ""uma"", ""economia"", ""liberal"", ""que"", ""investe"", ""em"", ""politicas"", ""de"", ""combate"", ""a"", ""pobreza"", ""com"", ""a"", ""priorizacao"", ""aos"", ""ana"", ""daniela"", ""leite"", ""e"", ""aguiar"", ""mais"", ""vulneraveis"", ""e"", ""a"", ""reducao"", ""da"", ""desigualdade"", ""por"", ""meio"", ""de"", ""projetos"", ""sociais"", ""e"", ""oab"", ""df"", ""11"", ""653"", ""principalmente"", ""a"", ""geracao"", ""de"", ""emprego"", ""e"", ""renda"", ""estatuto"", ""aprovado"", ""na"", ""convencao"", ""nacional"", ""de"", ""19"", ""dezembro"", ""de"", ""2022"", ""acredita"", ""em"", ""um"", ""modelo"", ""de"", ""gestao"", ""alicercada"", ""na"", ""geracao"", ""de"", ""oportunidades"", ""que"", ""produzem"", ""riquezas"", ""estimulam"", ""o"", ""empreendedorismo"", ""facilitam"", ""a"", ""abertura"", ""de"", ""novas"", ""a"", ""liberdade"", ""e"", ""o"", ""alicerce"", ""da"", ""democracia"", ""nao"", ""existe"", ""democracia"", ""sem"", ""liberdade"", ""empresas"", ""reduzem"", ""a"", ""burocracia"", ""incentivam"", ""a"", ""capacitacao"", ""profissional"", ""a"", ""autonomia"", ""e"", ""a"", ""independencia"", ""financeira"", ""a"", ""essencia"", ""do"", ""partido"", ""liberal"", ""esta"", ""no"", ""fortalecimento"", ""do"", ""estado"", ""democratico"", ""essas"", ""iniciativas"", ""permitem"", ""que"", ""a"", ""qualidade"", ""de"", ""vida"", ""das"", ""pessoas"", ""melhore"", ""de"", ""direito"", ""assegurando"", ""a"", ""cada"", ""cidadao"", ""brasileiro"", ""a"", ""liberdade"", ""de"", ""pensamento"", ""e"", ""a"", ""expandindo"", ""a"", ""producao"", ""e"", ""o"", ""consumo"", ""esse"", ""ciclo"", ""da"", ""prosperidade"", ""impulsiona"", ""o"", ""liberdade"", ""de"", ""expressao"", ""aquecimento"", ""da"", ""economia"", ""o"", ""aumento"", ""da"", ""arrecadacao"", ""e"", ""consequentemente"", ""permitira"", ""para"", ""o"", ""partido"", ""liberal"", ""os"", ""direitos"", ""de"", ""ir"", ""e"", ""vir"", ""de"", ""ser"", ""pensar"", ""agir"", ""e"", ""falar"", ""sao"", ""que"", ""o"", ""estado"", ""invista"", ""mais"", ""recursos"", ""em"", ""acoes"", ""de"", ""saude"", ""educacao"", ""seguranca"", ""inviolaveis"", ""infraestrutura"", ""e"", ""projetos"", ""sociais"", ""fundado"", ""no"", ""ano"", ""de"", ""1985"", ""pelo"", ""professor"", ""deputado"", ""e"", ""embaixador"", ""alvaro"", ""intervencao"", ""do"", ""estado"", ""na"", ""economia"", ""o"", ""partido"", ""liberal"", ""entende"", ""que"", ""e"", ""vale"", ""o"", ""partido"", ""liberal"", ""tem"", ""o"", ""liberalismo"", ""social"", ""como"", ""instrumento"", ""permanente"", ""de"", ""luta"", ""essencial"", ""retirar"", ""o"", ""peso"", ""do"", ""estado"", ""dos"", ""ombros"", ""da"", ""populacao"", ""permitir"", ""que"", ""o"", ""cidadao"", ""pelo"", ""bem"", ""comum"", ""nao"", ""se"", ""pode"", ""olvidar"", ""que"", ""apesar"", ""do"", ""imutavel"", ""transcurso"", ""cronologico"", ""possa"", ""desenvolver"", ""sua"", ""capacidade"", ""empreendedora"", ""sua"", ""criatividade"", ""e"", ""liberdade"", ""com"", ""a"", ""sistemica"", ""evolucao"", ""da"", ""sociedade"", ""o"", ""mundo"", ""foi"", ""atingido"", ""por"", ""constantes"", ""gerencial"", ""para"", ""a"", ""producao"", ""e"", ""comercializacao"", ""de"", ""todos"", ""e"", ""quaisquer"", ""bens"", ""e"", ""servicos"", ""modificacoes""]"
6,"O Brasil não passa imune a essas transformações, as visões, os costumes previstos pela legislação brasileira.",o brasil nao passa imune a essas transformacoes as visoes os costumes previstos pela legislacao brasileira,"[""o"", ""brasil"", ""nao"", ""passa"", ""imune"", ""a"", ""essas"", ""transformacoes"", ""as"", ""visoes"", ""os"", ""costumes"", ""previstos"", ""pela"", ""legislacao"", ""brasileira""]"
7,e modelos sociais são impactados diariamente por essas mudanças.,e modelos sociais sao impactados diariamente por essas mudancas,"[""e"", ""modelos"", ""sociais"", ""sao"", ""impactados"", ""diariamente"", ""por"", ""essas"", ""mudancas""]"
8,"Dignidade para os menos favorecidos - Dignidade é, junto da liberdade e de Desafios surgem diuturnamente em todas as expressões dos campos do outros conceitos importantes em uma democracia, fator que demonstra, por exemplo, poder, exigindo que novos conceitos, estratégias e lideranças sejam incorporados ao a efetividade de uma política pública. O cidadão pleno não deve ser dependente do ideário do Partido para que se possa fazer frente aos problemas cada vez mais Estado, mas contar com o apoio do governo para ter autonomia e dignidade para complexos.",dignidade para os menos favorecidos dignidade e junto da liberdade e de desafios surgem diuturnamente em todas as expressoes dos campos do outros conceitos importantes em uma democracia fator que demonstra por exemplo poder exigindo que novos conceitos estrategias e liderancas sejam incorporados ao a efetividade de uma politica publica o cidadao pleno nao deve ser dependente do ideario do partido para que se possa fazer frente aos problemas cada vez mais estado mas contar com o apoio do governo para ter autonomia e dignidade para complexos,"[""dignidade"", ""para"", ""os"", ""menos"", ""favorecidos"", ""dignidade"", ""e"", ""junto"", ""da"", ""liberdade"", ""e"", ""de"", ""desafios"", ""surgem"", ""diuturnamente"", ""em"", ""todas"", ""as"", ""expressoes"", ""dos"", ""campos"", ""do"", ""outros"", ""conceitos"", ""importantes"", ""em"", ""uma"", ""democracia"", ""fator"", ""que"", ""demonstra"", ""por"", ""exemplo"", ""poder"", ""exigindo"", ""que"", ""novos"", ""conceitos"", ""estrategias"", ""e"", ""liderancas"", ""sejam"", ""incorporados"", ""ao"", ""a"", ""efetividade"", ""de"", ""uma"", ""politica"", ""publica"", ""o"", ""cidadao"", ""pleno"", ""nao"", ""deve"", ""ser"", ""dependente"", ""do"", ""ideario"", ""do"", ""partido"", ""para"", ""que"", ""se"", ""possa"", ""fazer"", ""frente"", ""aos"", ""problemas"", ""cada"", ""vez"", ""mais"", ""estado"", ""mas"", ""contar"", ""com"", ""o"", ""apoio"", ""do"", ""governo"", ""para"", ""ter"", ""autonomia"", ""e"", ""dignidade"", ""para"", ""complexos""]"
9,buscar melhores condições de vida.,buscar melhores condicoes de vida,"[""buscar"", ""melhores"", ""condicoes"", ""de"", ""vida""]"
