chunk_id,chunk_text,preprocess_agenda,tokens
0,DIARIO OFICIAL DA UNIAO - seção 3 Art.,diario oficial da uniao secao 3 art,"[""diario"", ""oficial"", ""da"", ""uniao"", ""secao"", ""3"", ""art""]"
1,56.,56,"[""56""]"
2,"Nos termos da Lei nº 14.192/2021 serão garantidos os direitos de participação política da mulher, vedadas a discriminação e a desigualdade de tratamento em virtude de sexo ou de raça no acesso às instâncias de representação política e no exercício de funções públicas.",nos termos da lei no 14 192 2021 serao garantidos os direitos de participacao politica da mulher vedadas a discriminacao e a desigualdade de tratamento em virtude de sexo ou de raca no acesso as instancias de representacao politica e no exercicio de funcoes publicas,"[""nos"", ""termos"", ""da"", ""lei"", ""no"", ""14"", ""192"", ""2021"", ""serao"", ""garantidos"", ""os"", ""direitos"", ""de"", ""participacao"", ""politica"", ""da"", ""mulher"", ""vedadas"", ""a"", ""discriminacao"", ""e"", ""a"", ""desigualdade"", ""de"", ""tratamento"", ""em"", ""virtude"", ""de"", ""sexo"", ""ou"", ""de"", ""raca"", ""no"", ""acesso"", ""as"", ""instancias"", ""de"", ""representacao"", ""politica"", ""e"", ""no"", ""exercicio"", ""de"", ""funcoes"", ""publicas""]"
3,Art.,art,"[""art""]"
4,57.,57,"[""57""]"
5,"Este Estatuto entrará em vigor, em todo o território nacional, a partir de sua aprovação em Convenção Nacional.",este estatuto entrara em vigor em todo o territorio nacional a partir de sua aprovacao em convencao nacional,"[""este"", ""estatuto"", ""entrara"", ""em"", ""vigor"", ""em"", ""todo"", ""o"", ""territorio"", ""nacional"", ""a"", ""partir"", ""de"", ""sua"", ""aprovacao"", ""em"", ""convencao"", ""nacional""]"
6,"VALDEMAR COSTA NETO Presidente Nacional - Partido Liberal ANA DANIELA LEITE E AGUIAR OAB/DF 11.653 (Estatuto aprovado na Convenção Nacional de 19 dezembro de 2022) A LIBERDADE É O ALICERCE DA DEMOCRACIA, NÃO EXISTE DEMOCRACIA SEM LIBERDADE A essência do Partido Liberal está no fortalecimento do Estado Democrático de Direito, assegurando a cada cidadão brasileiro a liberdade de pensamento e a liberdade de expressão. Para o partido Liberal, os direitos de ir e vir, de ser, pensar, agir e falar são invioláveis. Fundado no ano de 1985 pelo Professor, Deputado e Embaixador Álvaro Vale, o Partido Liberal tem o liberalismo social como instrumento permanente de luta pelo bem comum.",valdemar costa neto presidente nacional partido liberal ana daniela leite e aguiar oab df 11 653 estatuto aprovado na convencao nacional de 19 dezembro de 2022 a liberdade e o alicerce da democracia nao existe democracia sem liberdade a essencia do partido liberal esta no fortalecimento do estado democratico de direito assegurando a cada cidadao brasileiro a liberdade de pensamento e a liberdade de expressao para o partido liberal os direitos de ir e vir de ser pensar agir e falar sao inviolaveis fundado no ano de 1985 pelo professor deputado e embaixador alvaro vale o partido liberal tem o liberalismo social como instrumento permanente de luta pelo bem comum,"[""valdemar"", ""costa"", ""neto"", ""presidente"", ""nacional"", ""partido"", ""liberal"", ""ana"", ""daniela"", ""leite"", ""e"", ""aguiar"", ""oab"", ""df"", ""11"", ""653"", ""estatuto"", ""aprovado"", ""na"", ""convencao"", ""nacional"", ""de"", ""19"", ""dezembro"", ""de"", ""2022"", ""a"", ""liberdade"", ""e"", ""o"", ""alicerce"", ""da"", ""democracia"", ""nao"", ""existe"", ""democracia"", ""sem"", ""liberdade"", ""a"", ""essencia"", ""do"", ""partido"", ""liberal"", ""esta"", ""no"", ""fortalecimento"", ""do"", ""estado"", ""democratico"", ""de"", ""direito"", ""assegurando"", ""a"", ""cada"", ""cidadao"", ""brasileiro"", ""a"", ""liberdade"", ""de"", ""pensamento"", ""e"", ""a"", ""liberdade"", ""de"", ""expressao"", ""para"", ""o"", ""partido"", ""liberal"", ""os"", ""direitos"", ""de"", ""ir"", ""e"", ""vir"", ""de"", ""ser"", ""pensar"", ""agir"", ""e"", ""falar"", ""sao"", ""inviolaveis"", ""fundado"", ""no"", ""ano"", ""de"", ""1985"", ""pelo"", ""professor"", ""deputado"", ""e"", ""embaixador"", ""alvaro"", ""vale"", ""o"", ""partido"", ""liberal"", ""tem"", ""o"", ""liberalismo"", ""social"", ""como"", ""instrumento"", ""permanente"", ""de"", ""luta"", ""pelo"", ""bem"", ""comum""]"
7,"Não se pode olvidar que, apesar do imutável transcurso cronológico, com a sistêmica evolução da sociedade, o mundo foi atingido por constantes modificações. O Brasil não passa imune a essas transformações, as visões, os costumes e modelos sociais são impactados diariamente por essas mudanças.",nao se pode olvidar que apesar do imutavel transcurso cronologico com a sistemica evolucao da sociedade o mundo foi atingido por constantes modificacoes o brasil nao passa imune a essas transformacoes as visoes os costumes e modelos sociais sao impactados diariamente por essas mudancas,"[""nao"", ""se"", ""pode"", ""olvidar"", ""que"", ""apesar"", ""do"", ""imutavel"", ""transcurso"", ""cronologico"", ""com"", ""a"", ""sistemica"", ""evolucao"", ""da"", ""sociedade"", ""o"", ""mundo"", ""foi"", ""atingido"", ""por"", ""constantes"", ""modificacoes"", ""o"", ""brasil"", ""nao"", ""passa"", ""imune"", ""a"", ""essas"", ""transformacoes"", ""as"", ""visoes"", ""os"", ""costumes"", ""e"", ""modelos"", ""sociais"", ""sao"", ""impactados"", ""diariamente"", ""por"", ""essas"", ""mudancas""]"
8,"Desafios surgem diuturnamente em todas as expressões dos campos do poder, exigindo que novos conceitos, estratégias e lideranças sejam incorporados ao ideário do Partido para que se possa fazer frente aos problemas cada vez mais complexos. Para o PL é clara a necessidade de construir sólidas pontes com todos os seguimentos da sociedade, com o objetivo de estabelecer canais permanentes de conexão, fornecendo prontas respostas aos anseios, preocupações e necessidades outrora inexistentes e desconhecidos.",desafios surgem diuturnamente em todas as expressoes dos campos do poder exigindo que novos conceitos estrategias e liderancas sejam incorporados ao ideario do partido para que se possa fazer frente aos problemas cada vez mais complexos para o pl e clara a necessidade de construir solidas pontes com todos os seguimentos da sociedade com o objetivo de estabelecer canais permanentes de conexao fornecendo prontas respostas aos anseios preocupacoes e necessidades outrora inexistentes e desconhecidos,"[""desafios"", ""surgem"", ""diuturnamente"", ""em"", ""todas"", ""as"", ""expressoes"", ""dos"", ""campos"", ""do"", ""poder"", ""exigindo"", ""que"", ""novos"", ""conceitos"", ""estrategias"", ""e"", ""liderancas"", ""sejam"", ""incorporados"", ""ao"", ""ideario"", ""do"", ""partido"", ""para"", ""que"", ""se"", ""possa"", ""fazer"", ""frente"", ""aos"", ""problemas"", ""cada"", ""vez"", ""mais"", ""complexos"", ""para"", ""o"", ""pl"", ""e"", ""clara"", ""a"", ""necessidade"", ""de"", ""construir"", ""solidas"", ""pontes"", ""com"", ""todos"", ""os"", ""seguimentos"", ""da"", ""sociedade"", ""com"", ""o"", ""objetivo"", ""de"", ""estabelecer"", ""canais"", ""permanentes"", ""de"", ""conexao"", ""fornecendo"", ""prontas"", ""respostas"", ""aos"", ""anseios"", ""preocupacoes"", ""e"", ""necessidades"", ""outrora"", ""inexistentes"", ""e"", ""desconhecidos""]"
9,"Os fatos vivenciados corroboram essa necessidade, o mundo passou e passa por transmudações de conceitos e percepções antes considerados estabilizados. Novas pautas surgiram, desafios tecnológicos trouxeram oportunidades e provocações, agregando questionamentos sobre sua relação com a liberdade e o trabalho, indagações sobre como proceder a partir do escopo da fraternidade universal, em um mundo sem fronteiras e sua relação com as questões culturais e de imigração. Passamos por guerras e pandemia, tudo banhado pela constante luta entre a verdade de cada cidadão e suas narrativas. Mesmo diante de um cenário mundial volátil, é preciso ter um olhar amplo para antever, compreender e agir na direção do futuro.",os fatos vivenciados corroboram essa necessidade o mundo passou e passa por transmudacoes de conceitos e percepcoes antes considerados estabilizados novas pautas surgiram desafios tecnologicos trouxeram oportunidades e provocacoes agregando questionamentos sobre sua relacao com a liberdade e o trabalho indagacoes sobre como proceder a partir do escopo da fraternidade universal em um mundo sem fronteiras e sua relacao com as questoes culturais e de imigracao passamos por guerras e pandemia tudo banhado pela constante luta entre a verdade de cada cidadao e suas narrativas mesmo diante de um cenario mundial volatil e preciso ter um olhar amplo para antever compreender e agir na direcao do futuro,"[""os"", ""fatos"", ""vivenciados"", ""corroboram"", ""essa"", ""necessidade"", ""o"", ""mundo"", ""passou"", ""e"", ""passa"", ""por"", ""transmudacoes"", ""de"", ""conceitos"", ""e"", ""percepcoes"", ""antes"", ""considerados"", ""estabilizados"", ""novas"", ""pautas"", ""surgiram"", ""desafios"", ""tecnologicos"", ""trouxeram"", ""oportunidades"", ""e"", ""provocacoes"", ""agregando"", ""questionamentos"", ""sobre"", ""sua"", ""relacao"", ""com"", ""a"", ""liberdade"", ""e"", ""o"", ""trabalho"", ""indagacoes"", ""sobre"", ""como"", ""proceder"", ""a"", ""partir"", ""do"", ""escopo"", ""da"", ""fraternidade"", ""universal"", ""em"", ""um"", ""mundo"", ""sem"", ""fronteiras"", ""e"", ""sua"", ""relacao"", ""com"", ""as"", ""questoes"", ""culturais"", ""e"", ""de"", ""imigracao"", ""passamos"", ""por"", ""guerras"", ""e"", ""pandemia"", ""tudo"", ""banhado"", ""pela"", ""constante"", ""luta"", ""entre"", ""a"", ""verdade"", ""de"", ""cada"", ""cidadao"", ""e"", ""suas"", ""narrativas"", ""mesmo"", ""diante"", ""de"", ""um"", ""cenario"", ""mundial"", ""volatil"", ""e"", ""preciso"", ""ter"", ""um"", ""olhar"", ""amplo"", ""para"", ""antever"", ""compreender"", ""e"", ""agir"", ""na"", ""direcao"", ""do"", ""futuro""]"
10,"Nesse contexto, o Partido Liberal trabalha para proteger seus cidadãos com bem-estar social, visando aumentar a oferta de emprego, a geração de renda, a segurança e a manutenção de valores que são tradicionais em nossa sociedade e defendidos pelo Partido Liberal.",nesse contexto o partido liberal trabalha para proteger seus cidadaos com bem estar social visando aumentar a oferta de emprego a geracao de renda a seguranca e a manutencao de valores que sao tradicionais em nossa sociedade e defendidos pelo partido liberal,"[""nesse"", ""contexto"", ""o"", ""partido"", ""liberal"", ""trabalha"", ""para"", ""proteger"", ""seus"", ""cidadaos"", ""com"", ""bem"", ""estar"", ""social"", ""visando"", ""aumentar"", ""a"", ""oferta"", ""de"", ""emprego"", ""a"", ""geracao"", ""de"", ""renda"", ""a"", ""seguranca"", ""e"", ""a"", ""manutencao"", ""de"", ""valores"", ""que"", ""sao"", ""tradicionais"", ""em"", ""nossa"", ""sociedade"", ""e"", ""defendidos"", ""pelo"", ""partido"", ""liberal""]"
11,O PL sabe que a ausência de soluções oportunas e concretas gera a inquietação social.,o pl sabe que a ausencia de solucoes oportunas e concretas gera a inquietacao social,"[""o"", ""pl"", ""sabe"", ""que"", ""a"", ""ausencia"", ""de"", ""solucoes"", ""oportunas"", ""e"", ""concretas"", ""gera"", ""a"", ""inquietacao"", ""social""]"
