doc_id,topic,probability
0,0,0.9950700998306274
0,1,0.0009227970731444657
0,2,0.0009722854592837393
0,3,0.00102157739456743
0,4,0.0007900675991550088
0,5,0.0012231592554599047
1,0,0.0007417798042297363
1,1,0.0006568023818545043
1,2,0.9964414238929749
1,3,0.0007271094364114106
1,4,0.0005623319302685559
1,5,0.00087058573262766
2,0,0.002536052605137229
2,1,0.002245525363832712
2,2,0.987833559513092
2,3,0.0024858962278813124
2,4,0.0019225426949560642
2,5,0.002976423827931285
3,0,0.9926270246505737
3,1,0.0013800956076011062
3,2,0.0014541082782670856
3,3,0.0015278271166607738
3,4,0.0011815910693258047
3,5,0.0018293044995516539
4,0,0.0007048477418720722
4,1,0.0006241012015379965
4,2,0.0006575709558092058
4,3,0.9966518878936768
4,4,0.0005343343364074826
4,5,0.0008272406412288547
5,0,0.00014003142132423818
5,1,0.9993216395378113
5,2,0.0001306389895034954
5,3,0.00013726197357755154
5,4,0.00010615568317007273
5,5,0.00016434708959423006
6,0,0.002785629127174616
6,1,0.002466510748490691
6,2,0.0025987864937633276
6,3,0.002730536973103881
6,4,0.0021117429714649916
6,5,0.9873068332672119
7,0,0.00040930157410912216
7,1,0.00036241248017176986
7,2,0.0003818481636699289
7,3,0.9980556964874268
7,4,0.0003102852788288146
7,5,0.00048037449596449733
8,0,0.002327557187527418
8,1,0.0020609148778021336
8,2,0.002171439118683338
8,3,0.9889439344406128
8,4,0.001764485496096313
8,5,0.0027317244093865156
9,0,0.0004153007175773382
9,1,0.00036772433668375015
9,2,0.998007595539093
9,3,0.0004070871800649911
9,4,0.0003148331306874752
9,5,0.00048741535283625126
10,0,0.02435665763914585
10,1,0.02156638726592064
10,2,0.8831515312194824
10,3,0.023874949663877487
10,4,0.018464410677552223
10,5,0.02858605608344078
11,0,0.00014886782446410507
11,1,0.9992788434028625
11,2,0.0001388826931361109
11,3,0.00014592362276744097
11,4,0.00011285442451480776
11,5,0.00017471789033152163
12,0,0.008952019736170769
12,1,0.007926486432552338
12,2,0.9570536017417908
12,3,0.008774972520768642
12,4,0.006786389276385307
12,5,0.01050648745149374
13,0,0.9980638027191162
13,1,0.00036241483758203685
13,2,0.00038185063749551773
13,3,0.00040120931225828826
13,4,0.00031028728699311614
13,5,0.00048037763917818666
14,0,0.024357503280043602
14,1,0.02156713604927063
14,2,0.02272375300526619
14,3,0.023875776678323746
14,4,0.01846505142748356
14,5,0.8890107870101929
15,0,0.9988762140274048
15,1,0.00021034679957665503
15,2,0.00022162742970976979
15,3,0.0002328632544958964
15,4,0.0001800918107619509
15,5,0.00027881283313035965
16,0,0.9959620833396912
16,1,0.0007558393408544362
16,2,0.0007963739917613566
16,3,0.0008367477566935122
16,4,0.0006471240194514394
16,5,0.0010018583852797747
17,0,0.0013376744464039803
17,1,0.0011844320688396692
17,2,0.0012479516444727778
17,3,0.0013112189481034875
17,4,0.0010140705853700638
17,5,0.9939045906066895
18,0,0.006801299285143614
18,1,0.006022150628268719
18,2,0.006345110479742289
18,3,0.0066667883656919
18,4,0.005155961029231548
18,5,0.9690086245536804
19,0,0.00031748696346767247
19,1,0.00028111605206504464
19,2,0.00029619192355312407
19,3,0.00031120795756578445
19,4,0.998421311378479
19,5,0.0003726168069988489
20,0,0.024357279762625694
20,1,0.02156693860888481
20,2,0.022723544389009476
20,3,0.023875558748841286
20,4,0.8788899183273315
20,5,0.02858678624033928
21,0,0.0004628368769772351
21,1,0.00040981482015922666
21,2,0.00043179263593629
21,3,0.9978014826774597
21,4,0.0003508695517666638
21,5,0.000543205882422626
22,0,0.000542710127774626
22,1,0.9973706007003784
22,2,0.0005063085118308663
22,3,0.0005319767515175045
22,4,0.000411420245654881
22,5,0.0006369486800394952
23,0,0.000245816248934716
23,1,0.9988090395927429
23,2,0.00022932840511202812
23,3,0.00024095465778373182
23,4,0.00018634954176377505
23,5,0.00028850085800513625
24,0,0.0013376646675169468
24,1,0.001184423454105854
24,2,0.0012479424476623535
24,3,0.0013112094020470977
24,4,0.0010140632512047887
24,5,0.9939046502113342
25,0,0.00459384685382247
25,1,0.97774338722229
25,2,0.004285720176994801
25,3,0.004502993077039719
25,4,0.003482525236904621
25,5,0.005391542799770832
26,0,0.0013376689748838544
26,1,0.0011844271793961525
26,2,0.0012479464057832956
26,3,0.0013112134765833616
26,4,0.9933487772941589
26,5,0.0015699476934969425
27,0,0.0010421860497444868
27,1,0.0009227944537997246
27,2,0.0009722827235236764
27,3,0.0010215744841843843
27,4,0.0007900653290562332
27,5,0.9952510595321655
28,0,0.0045938026160001755
28,1,0.004067542031407356
28,2,0.00428567873314023
28,3,0.9781789779663086
28,4,0.0034824914764612913
28,5,0.005391490645706654
29,0,0.00253604375757277
29,1,0.002245517447590828
29,2,0.002365941647440195
29,3,0.002485887613147497
29,4,0.0019225359428673983
29,5,0.9884440898895264
30,0,0.0010820267489179969
30,1,0.0009580710320733488
30,2,0.0010094511089846492
30,3,0.9948602914810181
30,4,0.0008202679455280304
30,5,0.0012699145590886474
31,0,0.9958365559577942
31,1,0.0007793395197950304
31,2,0.0008211344829760492
31,3,0.0008627634961158037
31,4,0.0006672441377304494
31,5,0.0010330076329410076
32,0,0.0016494352603331208
32,1,0.0014604779426008463
32,2,0.0015388013562187552
32,3,0.0016168139409273863
32,4,0.9917986392974854
32,5,0.0019358504796400666
33,0,0.00031052398844622076
33,1,0.00027495072572492063
33,2,0.00028969597769901156
33,3,0.00030438267276622355
33,4,0.00023540349502582103
33,5,0.9985851049423218
34,0,0.004593814257532358
34,1,0.004067552275955677
34,2,0.9779617190361023
34,3,0.004502960946410894
34,4,0.003482500556856394
34,5,0.005391504615545273
