doc_id,topic,probability
0,0,0.0016350470250472426
0,1,0.0012683429522439837
0,2,0.9955103993415833
0,3,0.0015862006694078445
1,0,0.0002855995262507349
1,1,0.00022154599719215184
1,2,0.0008448716253042221
1,3,0.998647928237915
2,0,0.0006893718964420259
2,1,0.0005347613478079438
2,2,0.0020393275190144777
2,3,0.9967365264892578
3,0,0.9985185265541077
3,1,0.0002443117555230856
3,2,0.0009316891664639115
3,3,0.00030553838587366045
4,0,0.004188733175396919
4,1,0.003249294823035598
4,2,0.9884983897209167
4,3,0.004063596483319998
5,0,0.0017698503797873855
5,1,0.9912775754928589
5,2,0.005235640332102776
5,3,0.0017169768689200282
6,0,0.0021198890171945095
6,1,0.0016444458160549402
6,2,0.9941791296005249
6,3,0.0020565581507980824
7,0,0.0007911364082247019
7,1,0.0006137024029158056
7,2,0.9978276491165161
7,3,0.0007675015367567539
8,0,0.0035044262185692787
8,1,0.002718462608754635
8,2,0.01036692876368761
8,3,0.9834101796150208
9,0,0.0008895104401744902
9,1,0.0006900133448652923
9,2,0.997557520866394
9,3,0.0008629366639070213
10,0,0.0014187345514073968
10,1,0.0011005443520843983
10,2,0.004196955356746912
10,3,0.9932838082313538
11,0,0.0012530684471130371
11,1,0.0009720334783196449
11,2,0.003706875257194042
11,3,0.9940680265426636
12,0,0.00048625850467942655
12,1,0.0003772017080336809
12,2,0.0014384683454409242
12,3,0.9976980686187744
13,0,0.0009698128560557961
13,1,0.0007523057283833623
13,2,0.0028689370956271887
13,3,0.9954089522361755
14,0,0.0008894068305380642
14,1,0.9956166744232178
14,2,0.002631079638376832
14,3,0.0008628361392766237
15,0,0.9969527721405029
15,1,0.0005024800193496048
15,2,0.0019162202952429652
15,3,0.000628405949100852
16,0,0.0010158674558624625
16,1,0.000788031320553273
16,2,0.9972105622291565
16,3,0.0009855189127847552
17,0,7.659647963009775e-05
17,1,5.941761628491804e-05
17,2,0.9997897148132324
17,3,7.430819096043706e-05
18,0,0.9755180478096008
18,1,0.004037162289023399
18,2,0.015395824797451496
18,3,0.005048910155892372
19,0,0.0014189255889505148
19,1,0.0011006926652044058
19,2,0.996103823184967
19,3,0.0013765357434749603
20,0,0.00047550504677928984
20,1,0.00036885999725200236
20,2,0.42176553606987
20,3,0.5773900151252747
21,0,0.001929131569340825
21,1,0.0014964708825573325
21,2,0.9947028756141663
21,3,0.0018714995821937919
22,0,0.001253194990567863
22,1,0.000972131674643606
22,2,0.9965588450431824
22,3,0.001215756288729608
23,0,0.9858294129371643
23,1,0.0023367831017822027
23,2,0.008911386132240295
23,3,0.002922401297837496
24,0,0.0011220882879570127
24,1,0.0008704292704351246
24,2,0.9969188570976257
24,3,0.001088566379621625
25,0,0.9967571496963501
25,1,0.0005347651313059032
25,2,0.0020393403246998787
25,3,0.0006687819841317832
26,0,0.0005939372349530458
26,1,0.9970728158950806
26,2,0.0017570082563906908
26,3,0.0005761936190538108
27,0,0.9989920258522034
27,1,0.00016622626571916044
27,2,0.0006339083192870021
27,3,0.000207884018891491
28,0,0.00028562734951265156
28,1,0.0002215675776824355
28,2,0.9992157220840454
28,3,0.0002770943392533809
29,0,0.00041972691542468965
29,1,0.0003255916526541114
29,2,0.998847484588623
29,3,0.0004071877629030496
30,0,0.0002209066296927631
30,1,0.00017136226233560592
30,2,0.0006534943822771311
30,3,0.998954176902771
31,0,0.0006679531652480364
31,1,0.0005181463784538209
31,2,0.9981659054756165
31,3,0.0006479983567260206
32,0,0.00041165866423398256
32,1,0.0003193329321220517
32,2,0.9988696575164795
32,3,0.0003993605205323547
33,0,0.00033462350256741047
33,1,0.0002595749974716455
33,2,0.9990811944007874
33,3,0.0003246267733629793
34,0,0.00036916512181051075
34,1,0.00028636970091611147
34,2,0.9989863634109497
34,3,0.00035813645808957517
35,0,0.0012531630927696824
35,1,0.0009721068781800568
35,2,0.9965589642524719
35,3,0.001215725322254002
36,0,0.00043683030526153743
36,1,0.0003388591285329312
36,2,0.9988005757331848
36,3,0.0004237801767885685
37,0,0.9973524808883667
37,1,0.00043657567584887147
37,2,0.001664892421104014
37,3,0.000545985356438905
38,0,0.0008894165512174368
38,1,0.0006899404688738286
38,2,0.002631106646731496
38,3,0.9957895278930664
39,0,0.0001576146751176566
39,1,0.9427974820137024
39,2,0.056891992688179016
39,3,0.00015290601004380733
40,0,0.004188633058220148
40,1,0.0032492170576006174
40,2,0.012390980497002602
40,3,0.9801711440086365
41,0,0.0009698373614810407
41,1,0.0007523247040808201
41,2,0.002869014162570238
41,3,0.995408833026886
42,0,0.0015193449798971415
42,1,0.0011785902315750718
42,2,0.9958280920982361
42,3,0.0014739552279934287
43,0,0.9900296330451965
43,1,0.0016441536135971546
43,2,0.006270021665841341
43,3,0.0020561928395181894
44,0,0.0007911524153314531
44,1,0.0006137147429399192
44,2,0.9978275895118713
44,3,0.0007675170199945569
45,0,0.9956351518630981
45,1,0.0007197795785032213
45,2,0.002744898432865739
45,3,0.0009001626167446375
46,0,0.001330931088887155
46,1,0.0010324332397431135
46,2,0.9963454008102417
46,3,0.0012911700177937746
47,0,0.0011839315993711352
47,1,0.0009184025111608207
47,2,0.9967490434646606
47,3,0.001148562179878354
48,0,0.0006894398829899728
48,1,0.0005348140839487314
48,2,0.9981068968772888
48,3,0.0006688431603834033
49,0,0.0005780239589512348
49,1,0.00044838624307885766
49,2,0.9984128475189209
49,3,0.0005607557250186801
50,0,0.0001636380620766431
50,1,0.00012693773896899074
50,2,0.9995506405830383
50,3,0.00015874943346716464
51,0,0.00024626258527860045
51,1,0.00019103144586551934
51,2,0.0007285033934749663
51,3,0.9988341331481934
52,0,0.0007910327985882759
52,1,0.9961014986038208
52,2,0.002340063452720642
52,3,0.0007674010121263564
53,0,0.9962788224220276
53,1,0.0006136360461823642
53,2,0.002340116770938039
53,3,0.0007674185908399522
54,0,0.9985607862472534
54,1,0.00023734488058835268
54,2,0.0009051209199242294
54,3,0.0002968255721498281
55,0,0.0015192534774541855
55,1,0.0011785192182287574
55,2,0.9958283305168152
55,3,0.0014738664031028748
56,0,0.0011839955113828182
56,1,0.0009184519876725972
56,2,0.9967488646507263
56,3,0.001148624112829566
57,0,0.000647762615699321
57,1,0.0005024840938858688
57,2,0.9982213973999023
57,3,0.0006284110131673515
58,0,0.0030123863834887743
58,1,0.002336776116862893
58,2,0.008911353535950184
58,3,0.9857394695281982
59,0,0.0012531301472336054
59,1,0.0009720813250169158
59,2,0.9965590238571167
59,3,0.0012156933080404997
60,0,0.9875743985176086
60,1,0.0020490391179919243
60,2,0.00781406369060278
60,3,0.002562546171247959
61,0,0.0004280908324290067
61,1,0.0003320797113701701
61,2,0.9988245368003845
61,3,0.0004153017944190651
62,0,0.000382284342776984
62,1,0.9981158971786499
62,2,0.0011308881221339107
62,3,0.00037086373777128756
63,0,0.0002818741195369512
63,1,0.00021865611779503524
63,2,0.9992260336875916
63,3,0.0002734532463364303
64,0,0.0017700199969112873
64,1,0.0013730444479733706
64,2,0.9951397776603699
64,3,0.0017171413637697697
65,0,0.9991598725318909
65,1,0.00013854983262717724
65,2,0.0005283633945509791
65,3,0.00017327161913271993
66,0,0.00030168925877660513
66,1,0.0002340271748835221
66,2,0.9991716146469116
66,3,0.0002926764136645943
67,0,0.0011841082014143467
67,1,0.0009185394155792892
67,2,0.9967485666275024
67,3,0.0011487334268167615
68,0,0.005205891095101833
68,1,0.004038327373564243
68,2,0.9857053756713867
68,3,0.005050367210060358
69,0,0.00019663764396682382
69,1,0.00015253626042976975
69,2,0.9994600415229797
69,3,0.0001907631813082844
70,0,0.0002677949087228626
70,1,0.00020773455617018044
70,2,0.999264657497406
70,3,0.00025979464408010244
71,0,0.00045535588287748396
71,1,0.00035322984331287444
71,2,0.9987496733665466
71,3,0.0004417523159645498
72,0,0.0005094290245324373
72,1,0.00039517562254332006
72,2,0.9986011981964111
72,3,0.0004942100495100021
73,0,0.9858300685882568
73,1,0.00233668927103281
73,2,0.008911022916436195
73,3,0.0029222839511930943
74,0,0.001330888131633401
74,1,0.001032399944961071
74,2,0.9963455200195312
74,3,0.0012911283411085606
75,0,0.0009279258665628731
75,1,0.0007198130479082465
75,2,0.9974520206451416
75,3,0.0009002044680528343
76,0,0.0013309437781572342
76,1,0.0010324431350454688
76,2,0.9963453412055969
76,3,0.00129118247423321
77,0,0.0023519101087003946
77,1,0.9884089827537537
77,2,0.006957514677196741
77,3,0.0022816478740423918
78,0,0.00022797213750891387
78,1,0.0001768431393429637
78,2,0.9993740320205688
78,3,0.00022116156469564885
79,0,0.001929194782860577
79,1,0.0014965198934078217
79,2,0.9947026968002319
79,3,0.0018715608166530728
80,0,0.0026419376954436302
80,1,0.002049410715699196
80,2,0.9927456378936768
80,3,0.0025630109012126923
81,0,0.0023518542293459177
81,1,0.9884092807769775
81,2,0.006957346107810736
81,3,0.0022815933916717768
82,0,0.9958160519599915
82,1,0.000689947628416121
82,2,0.0026311329565942287
82,3,0.0008628545328974724
83,0,0.0010158673394471407
83,1,0.0007880312041379511
83,2,0.9972105622291565
83,3,0.0009855186799541116
84,0,0.0012530352687463164
84,1,0.0009720078087411821
84,2,0.003706776537001133
84,3,0.9940682053565979
85,0,0.0015193826984614134
85,1,0.0011786194518208504
85,2,0.9958280324935913
85,3,0.0014739916659891605
86,0,0.00048625952331349254
86,1,0.9976034760475159
86,2,0.0014384719543159008
86,3,0.00047173272469080985
87,0,0.0013309178175404668
87,1,0.0010324229951947927
87,2,0.9963454604148865
87,3,0.0012911572121083736
88,0,0.00013234918878879398
88,1,0.0001026662575895898
88,2,0.9996365308761597
88,3,0.00012839531700592488
89,0,0.0003016839036718011
89,1,0.00023402301303576678
89,2,0.9991716146469116
89,3,0.00029267120407894254
90,0,0.00015878853446338326
90,1,0.4782271087169647
90,2,0.5214599967002869
90,3,0.00015404479927383363
91,0,0.0014188751811161637
91,1,0.001100653549656272
91,2,0.9961040019989014
91,3,0.001376486849039793
92,0,9.364839206682518e-05
92,1,7.264516898430884e-05
92,2,0.9997428059577942
92,3,9.085068450076506e-05
93,0,0.0007629028987139463
93,1,0.0005918010137975216
93,2,0.0022568488493561745
93,3,0.9963884353637695
94,0,0.9970422387123108
94,1,0.0004877334285993129
94,2,0.0018599850591272116
94,3,0.0006099636666476727
95,0,0.000610854011029005
95,1,0.9969894289970398
95,2,0.0018070528749376535
95,3,0.0005926049780100584
96,0,0.0030122902244329453
96,1,0.9851542711257935
96,2,0.0089110704138875
96,3,0.0029222993180155754
97,0,0.0009279884397983551
97,1,0.0007198615348897874
97,2,0.9974518418312073
97,3,0.0009002651204355061
98,0,0.9974844455718994
98,1,0.0004148075240664184
98,2,0.0015818794490769506
98,3,0.0005187619244679809
99,0,0.003504292806610465
99,1,0.002718358999118209
99,2,0.9903777241706848
99,3,0.0033996033016592264
100,0,0.0004975291667506099
100,1,0.0003859445860143751
100,2,0.0014718095771968365
100,3,0.9976447224617004
101,0,0.9923087954521179
101,1,0.001268313149921596
101,2,0.004836746025830507
101,3,0.00158616341650486
102,0,0.00019662808335851878
102,1,0.0001525288389530033
102,2,0.9994601011276245
102,3,0.0001907538971863687
103,0,0.0009699275833554566
103,1,0.000752394727896899
103,2,0.9973366856575012
103,3,0.0009409514022991061
104,0,0.010108444839715958
104,1,0.007841349579393864
104,2,0.9722438454627991
104,3,0.00980645976960659
