doc_id,topic,probability
0,0,0.00015736332
0,1,0.00015900638
0,2,0.3088379
0,3,0.00021104595
0,4,0.00020208006
0,5,0.0001320984
0,6,0.00014817526
0,7,0.00023453891
0,8,0.00016437622
0,9,0.00015515191
0,10,0.00019493393
0,11,0.00023652872
0,12,0.6887815
0,13,0.00015001095
0,14,0.0002353128
1,0,2.8547107e-05
1,1,2.8845172e-05
1,2,0.9535786
1,3,3.8285616e-05
1,4,3.665912e-05
1,5,2.3963825e-05
1,6,2.688031e-05
1,7,4.2547446e-05
1,8,2.9819312e-05
1,9,2.8145936e-05
1,10,3.536275e-05
1,11,0.045980148
1,12,5.2471572e-05
1,13,2.7213322e-05
1,14,4.2687836e-05
2,0,0.0003859973
2,1,0.00039002756
2,2,0.00040788832
2,3,0.0005176757
2,4,0.0004956832
2,5,0.00032402485
2,6,0.00036345987
2,7,0.9936184
2,8,0.00040319932
2,9,0.00038057292
2,10,0.00047815446
2,11,0.00058018253
2,12,0.00070949
2,13,0.00036796264
2,14,0.0005772
3,0,0.00047879547
3,1,0.00048379466
3,2,0.9918766
3,3,0.0006421309
3,4,0.00061485113
3,5,0.00040192413
3,6,0.00045083978
3,7,0.00071361085
3,8,0.000500133
3,9,0.000472067
3,10,0.00059310824
3,11,0.000719665
3,12,0.00088005944
3,13,0.00045642507
3,14,0.00071596546
4,0,0.0003443531
4,1,0.00034794855
4,2,0.00036388237
4,3,0.9027148
4,4,0.0004422053
4,5,0.0002890667
4,6,0.00032424717
4,7,0.00051323394
4,8,0.00035969922
4,9,0.00033951394
4,10,0.00042656765
4,11,0.0005175882
4,12,0.09217371
4,13,0.00032826417
4,14,0.00051492744
5,0,3.7038662e-05
5,1,3.742539e-05
5,2,3.9139235e-05
5,3,0.999382
5,4,4.756366e-05
5,5,3.109205e-05
5,6,3.4876066e-05
5,7,5.5203513e-05
5,8,3.8689297e-05
5,9,3.6518162e-05
5,10,4.5881672e-05
5,11,5.5671855e-05
5,12,6.8079644e-05
5,13,3.5308134e-05
5,14,5.5385663e-05
6,0,1.8211775e-05
6,1,1.8401928e-05
6,2,1.9244619e-05
6,3,2.4424508e-05
6,4,2.3386878e-05
6,5,1.5287847e-05
6,6,1.7148435e-05
6,7,0.048441492
6,8,1.9023386e-05
6,9,1.7955846e-05
6,10,0.95128
6,11,2.7373648e-05
6,12,3.3474513e-05
6,13,1.736088e-05
6,14,2.7232927e-05
7,0,7.689385e-05
7,1,7.769671e-05
7,2,8.125472e-05
7,3,0.9987171
7,4,9.874419e-05
7,5,6.4548425e-05
7,6,7.2404204e-05
7,7,0.000114604845
7,8,8.032063e-05
7,9,7.581327e-05
7,10,9.525231e-05
7,11,0.000115577146
7,12,0.00014133625
7,13,7.33012e-05
7,14,0.000114983
8,0,2.9012941e-05
8,1,2.9315872e-05
8,2,3.065835e-05
8,3,3.8910366e-05
8,4,3.725733e-05
8,5,0.9995016
8,6,2.7318947e-05
